Fe,C,Si,Mn,Cr,Ni,Mo,P,S,test_temperature_C,impact_energy_J,KCV_J_cm2,transition_temp_C,ductile_fraction_percent,specimen_type
94.94,0.325,0.26,0.61,0.1,2.78,0.93,0.0264,0.0298,100,4.7,5.9,99.3,51.1,Charpy_V
90.19,0.184,0.48,1.02,3.8,4.19,0.09,0.0219,0.024,-40,7.2,9.0,91.6,0.0,Charpy_V
91.73,0.325,0.28,1.45,1.53,4.45,0.2,0.023,0.0193,100,4.0,5.0,87.6,69.6,Charpy_V
91.93,0.117,0.18,1.48,1.07,4.67,0.52,0.0188,0.0159,-40,4.0,5.0,67.7,0.1,Charpy_V
96.8,0.524,0.4,1.01,0.06,0.61,0.57,0.0115,0.0086,-20,4.0,5.0,80.6,0.1,Charpy_V
92.45,0.538,0.48,1.94,1.37,2.89,0.31,0.0273,0.0062,20,4.0,5.0,114.4,0.2,Charpy_V
92.66,0.741,0.79,0.54,1.09,3.22,0.92,0.0184,0.0171,-20,4.0,5.0,109.0,0.0,Charpy_V
94.17,0.651,0.57,0.71,1.03,1.98,0.86,0.0068,0.0105,-40,4.0,5.0,65.7,0.1,Charpy_V
92.66,0.347,0.76,1.56,4.31,0.15,0.18,0.0242,0.0135,100,5.3,6.6,131.9,10.7,Charpy_V
90.29,0.425,0.57,1.38,3.45,3.27,0.59,0.0097,0.0103,-40,4.0,5.0,68.4,0.1,Charpy_V
93.52,0.257,0.37,0.86,2.53,1.77,0.65,0.0178,0.0218,0,7.9,9.9,86.6,0.3,Charpy_V
94.71,0.511,0.8,0.43,1.59,1.6,0.33,0.0201,0.0121,-40,11.0,13.7,116.7,0.0,Charpy_V
96.29,0.503,0.69,0.66,1.63,0.11,0.11,0.013,0.0066,-40,4.0,5.0,102.8,0.0,Charpy_V
91.16,0.496,0.47,1.97,1.55,3.79,0.56,0.0119,0.0054,-40,4.0,5.0,70.9,0.1,Charpy_V
89.91,0.356,0.92,1.63,3.61,2.67,0.88,0.0185,0.0087,100,8.4,10.5,111.0,32.4,Charpy_V
92.71,0.54,0.15,0.34,0.59,4.75,0.91,0.0076,0.0126,0,4.0,5.0,39.6,6.7,Charpy_V
93.86,0.635,0.78,0.74,1.55,2.39,0.02,0.0139,0.0168,0,6.1,7.7,97.6,0.1,Charpy_V
93.09,0.259,0.78,0.63,3.93,1.15,0.1,0.0194,0.0253,100,5.5,6.9,111.7,31.4,Charpy_V
93.29,0.399,0.81,1.5,0.97,2.55,0.44,0.0177,0.0186,20,4.0,5.0,105.4,0.3,Charpy_V
93.32,0.404,0.38,0.88,2.56,1.53,0.89,0.0182,0.0123,100,12.5,15.6,91.8,63.4,Charpy_V
91.75,0.755,0.25,1.75,2.41,2.27,0.78,0.0078,0.0271,20,4.0,5.0,55.5,8.6,Charpy_V
95.46,0.706,1.0,1.18,0.47,0.83,0.32,0.0081,0.0254,-20,4.0,5.0,95.8,0.0,Charpy_V
89.64,0.246,0.55,1.09,3.98,4.17,0.28,0.0296,0.0095,20,4.0,5.0,113.3,0.2,Charpy_V
90.73,0.223,0.14,1.5,4.89,2.23,0.26,0.0097,0.0122,-20,15.4,19.3,49.5,1.0,Charpy_V
90.9,0.255,0.15,0.93,4.28,2.49,0.96,0.0201,0.0119,20,4.0,5.0,79.6,1.8,Charpy_V
91.72,0.426,1.0,1.18,4.82,0.08,0.72,0.0238,0.0221,0,6.4,7.9,144.0,0.0,Charpy_V
94.71,0.509,0.23,1.01,1.68,1.75,0.09,0.0098,0.009,20,4.0,5.0,61.1,6.1,Charpy_V
89.43,0.101,0.88,1.6,3.95,3.72,0.28,0.0308,0.0051,-20,4.0,5.0,127.4,0.0,Charpy_V
93.77,0.154,0.34,0.59,0.62,3.99,0.5,0.0239,0.0133,100,34.5,43.1,90.2,65.8,Charpy_V
95.03,0.393,0.41,1.94,0.04,1.53,0.61,0.0285,0.0254,0,4.0,5.0,116.9,0.0,Charpy_V
89.33,0.508,0.6,0.46,3.99,4.87,0.18,0.0319,0.0189,-20,4.0,5.0,122.8,0.0,Charpy_V
90.41,0.182,0.81,0.4,4.42,3.37,0.37,0.0107,0.0254,0,4.0,5.0,77.5,0.6,Charpy_V
91.59,0.67,0.41,0.45,4.56,1.94,0.35,0.0111,0.0274,-20,4.0,5.0,74.7,0.2,Charpy_V
92.95,0.587,0.84,1.59,0.14,3.35,0.5,0.0222,0.0143,-40,6.5,8.2,118.1,0.0,Charpy_V
90.92,0.696,0.19,0.81,2.48,4.79,0.07,0.0151,0.0281,0,14.3,17.9,68.7,1.0,Charpy_V
92.35,0.325,0.7,0.88,1.74,3.67,0.31,0.011,0.0252,20,10.7,13.4,75.6,2.4,Charpy_V
92.69,0.23,0.3,0.93,3.89,1.12,0.79,0.0259,0.022,0,4.0,5.0,105.2,0.1,Charpy_V
91.15,0.711,0.4,0.76,4.26,1.97,0.71,0.0094,0.0239,0,4.0,5.0,69.1,1.0,Charpy_V
86.86,0.642,0.38,1.6,4.72,4.88,0.89,0.0111,0.0099,0,4.0,5.0,63.7,1.4,Charpy_V
93.44,0.747,0.23,0.97,0.33,3.79,0.45,0.0262,0.0131,-20,4.0,5.0,100.9,0.0,Charpy_V
87.58,0.776,0.82,1.92,3.66,4.39,0.83,0.0126,0.0107,20,9.4,11.8,91.0,0.9,Charpy_V
92.65,0.414,0.59,1.6,1.97,2.2,0.53,0.0168,0.0279,0,4.0,5.0,94.8,0.2,Charpy_V
88.17,0.676,0.48,0.75,4.99,4.37,0.55,0.0219,0.0052,-40,4.0,5.0,99.7,0.0,Charpy_V
93.07,0.655,0.13,0.6,4.11,0.43,0.94,0.035,0.0272,20,4.0,5.0,128.0,0.1,Charpy_V
94.56,0.348,0.61,0.8,1.21,1.62,0.81,0.0178,0.0128,20,4.0,5.0,99.7,0.5,Charpy_V
94.8,0.074,0.9,1.24,0.52,1.44,0.98,0.0228,0.0123,0,4.0,5.0,118.5,0.0,Charpy_V
93.96,0.634,0.55,0.66,3.17,0.78,0.19,0.0238,0.0298,0,4.0,5.0,120.5,0.0,Charpy_V
95.36,0.056,0.59,0.75,2.35,0.36,0.5,0.0087,0.026,-20,4.0,5.0,70.9,0.2,Charpy_V
92.6,0.185,0.85,0.99,0.24,4.83,0.26,0.0331,0.0125,0,4.0,5.0,130.0,0.0,Charpy_V
90.31,0.454,0.25,0.99,2.18,4.91,0.85,0.027,0.0272,0,4.0,5.0,96.6,0.2,Charpy_V
92.88,0.369,0.64,1.27,2.87,1.28,0.63,0.0322,0.0147,0,4.0,5.0,135.3,0.0,Charpy_V
89.94,0.691,0.77,1.72,4.42,2.08,0.35,0.0067,0.0283,-20,6.3,7.8,73.9,0.2,Charpy_V
95.61,0.735,0.63,0.95,0.49,0.87,0.68,0.0055,0.0271,20,4.0,5.0,68.6,3.8,Charpy_V
89.26,0.23,0.63,0.36,3.9,4.6,0.96,0.027,0.0264,0,4.0,5.0,109.9,0.1,Charpy_V
89.2,0.674,0.18,0.9,4.76,3.5,0.75,0.0277,0.0065,0,4.0,5.0,102.1,0.1,Charpy_V
91.69,0.41,0.17,1.6,1.96,3.55,0.58,0.0264,0.0065,-20,12.0,15.0,94.7,0.0,Charpy_V
91.13,0.218,0.49,1.97,1.07,4.24,0.83,0.0317,0.0279,-20,4.0,5.0,113.9,0.0,Charpy_V
97.17,0.494,0.12,0.45,0.78,0.68,0.26,0.0186,0.0143,-20,4.0,5.0,88.0,0.1,Charpy_V
89.5,0.089,0.78,0.96,4.12,3.9,0.63,0.0127,0.0076,20,5.5,6.9,78.0,2.0,Charpy_V
92.4,0.151,0.33,1.46,1.93,3.16,0.54,0.0215,0.0112,-40,4.0,5.0,86.0,0.0,Charpy_V
92.24,0.653,0.83,1.5,2.24,1.56,0.96,0.0092,0.0061,-20,4.0,5.0,87.9,0.1,Charpy_V
87.74,0.536,0.95,1.76,3.97,4.76,0.23,0.0235,0.0272,-20,4.0,5.0,121.4,0.0,Charpy_V
90.01,0.335,0.77,0.35,3.47,4.67,0.38,0.0056,0.0057,-20,4.0,5.0,55.1,0.7,Charpy_V
90.1,0.362,0.4,0.47,4.78,3.71,0.13,0.0203,0.0189,-20,4.8,6.0,89.7,0.1,Charpy_V
90.73,0.411,0.71,1.17,4.71,1.99,0.23,0.0148,0.0263,-20,4.0,5.0,95.2,0.0,Charpy_V
90.48,0.559,0.38,1.27,3.06,3.45,0.76,0.0091,0.0291,100,6.3,7.9,59.7,93.6,Charpy_V
95.72,0.605,0.17,0.4,0.62,2.24,0.21,0.0136,0.0212,20,6.1,7.6,69.9,3.5,Charpy_V
90.68,0.257,0.22,0.72,2.89,4.59,0.58,0.0326,0.0243,20,4.0,5.0,103.4,0.4,Charpy_V
92.17,0.662,0.3,0.5,2.51,3.23,0.6,0.0264,0.0064,0,4.0,5.0,105.2,0.1,Charpy_V
88.67,0.493,0.72,1.55,3.63,4.68,0.24,0.0131,0.0074,20,4.0,5.0,83.5,1.4,Charpy_V
93.2,0.177,0.68,1.35,1.32,2.33,0.89,0.0282,0.0107,20,4.0,5.0,120.4,0.1,Charpy_V
93.33,0.458,0.42,1.47,2.36,1.65,0.27,0.0328,0.0123,-40,4.0,5.0,126.4,0.0,Charpy_V
91.32,0.485,0.86,1.94,3.43,1.64,0.31,0.0071,0.0157,20,4.0,5.0,78.8,1.9,Charpy_V
92.71,0.5,0.77,0.4,3.66,1.36,0.57,0.0123,0.026,0,8.4,10.5,94.4,0.2,Charpy_V
95.22,0.591,0.44,1.02,1.47,0.74,0.46,0.032,0.0213,20,7.9,9.9,132.7,0.1,Charpy_V
91.92,0.658,0.94,1.71,3.64,0.75,0.35,0.022,0.0069,100,4.0,5.0,134.1,9.4,Charpy_V
94.09,0.256,0.39,0.95,0.38,3.7,0.18,0.0292,0.0261,20,4.0,5.0,106.9,0.3,Charpy_V
91.0,0.627,0.25,1.28,3.38,3.31,0.12,0.0153,0.0131,-20,9.2,11.6,75.4,0.2,Charpy_V
91.9,0.781,0.96,1.76,0.05,4.43,0.08,0.0305,0.012,0,4.0,5.0,140.9,0.0,Charpy_V
92.18,0.292,0.54,0.52,4.65,1.59,0.19,0.0194,0.0061,-20,4.0,5.0,99.7,0.0,Charpy_V
90.93,0.777,0.69,0.68,1.78,4.88,0.22,0.0218,0.015,0,4.0,5.0,108.8,0.1,Charpy_V
91.63,0.557,0.44,1.29,2.58,2.62,0.83,0.0261,0.029,20,4.0,5.0,111.2,0.2,Charpy_V
91.7,0.549,0.68,1.12,0.31,4.76,0.85,0.0196,0.009,20,4.0,5.0,100.2,0.5,Charpy_V
92.82,0.373,0.45,1.43,3.79,0.31,0.77,0.027,0.0197,-20,5.0,6.2,122.9,0.0,Charpy_V
91.1,0.272,0.71,1.5,2.81,3.0,0.57,0.0075,0.0218,100,54.6,68.2,64.4,91.5,Charpy_V
91.28,0.064,0.3,1.51,1.5,4.6,0.71,0.0137,0.0179,-20,4.0,5.0,57.2,0.6,Charpy_V
87.86,0.501,0.99,0.8,4.24,4.99,0.59,0.0143,0.0218,20,4.0,5.0,97.9,0.6,Charpy_V
91.45,0.613,0.37,1.5,1.29,3.9,0.83,0.0289,0.0104,-20,4.0,5.0,110.9,0.0,Charpy_V
91.32,0.357,0.37,0.39,2.6,4.08,0.85,0.0121,0.02,-40,4.0,5.0,63.9,0.1,Charpy_V
89.41,0.645,0.52,1.67,3.06,4.16,0.5,0.0078,0.0204,0,9.8,12.2,60.1,1.8,Charpy_V
92.57,0.599,0.49,1.69,3.46,0.6,0.54,0.0269,0.0188,-20,4.0,5.0,125.3,0.0,Charpy_V
92.59,0.592,0.84,1.49,1.93,1.93,0.59,0.0169,0.0271,0,4.0,5.0,110.0,0.1,Charpy_V
91.96,0.386,0.27,0.61,2.12,3.77,0.84,0.0344,0.0068,100,4.0,5.0,113.9,28.3,Charpy_V
92.71,0.602,0.44,0.45,3.86,1.16,0.74,0.0219,0.0099,-40,4.0,5.0,108.9,0.0,Charpy_V
93.09,0.605,0.7,0.66,1.7,2.57,0.64,0.0213,0.0168,0,9.3,11.6,112.8,0.1,Charpy_V
96.19,0.276,0.13,0.55,0.53,1.68,0.61,0.0064,0.0232,-40,4.0,5.0,39.5,0.5,Charpy_V
96.25,0.8,0.13,0.97,0.53,0.48,0.79,0.0178,0.025,0,4.0,5.0,91.7,0.2,Charpy_V
95.76,0.293,0.31,0.76,0.47,2.13,0.24,0.0185,0.0248,-40,4.0,5.0,84.8,0.0,Charpy_V
93.43,0.236,0.94,0.69,3.73,0.31,0.63,0.0116,0.0218,20,4.0,5.0,101.9,0.4,Charpy_V
87.63,0.119,0.4,1.51,4.79,4.9,0.64,0.0108,0.008,100,122.7,153.4,53.4,95.7,Charpy_V
92.92,0.322,0.7,0.73,0.17,4.8,0.32,0.0264,0.0177,-40,5.0,6.2,112.7,0.0,Charpy_V
94.23,0.408,0.1,1.96,1.75,1.29,0.22,0.0098,0.03,0,4.0,5.0,55.7,2.4,Charpy_V
94.56,0.312,0.42,0.76,3.34,0.24,0.33,0.0134,0.0238,-20,4.0,5.0,87.3,0.1,Charpy_V
94.58,0.6,0.97,1.47,0.51,1.22,0.6,0.0133,0.0289,-20,4.0,5.0,108.8,0.0,Charpy_V
90.27,0.411,0.91,1.31,4.4,2.46,0.2,0.0268,0.0182,100,10.3,12.8,131.6,10.8,Charpy_V
92.63,0.596,0.47,1.15,4.18,0.42,0.53,0.0114,0.0135,20,7.8,9.8,86.1,1.2,Charpy_V
91.59,0.51,0.46,1.73,1.9,3.5,0.29,0.0094,0.0082,-40,11.1,13.9,63.4,0.1,Charpy_V
96.31,0.296,0.35,1.31,0.13,1.23,0.34,0.0263,0.0186,0,4.0,5.0,108.9,0.1,Charpy_V
90.36,0.075,0.96,1.15,2.51,4.62,0.29,0.015,0.0214,100,44.3,55.4,90.0,66.0,Charpy_V
91.74,0.61,0.76,1.85,1.94,2.57,0.47,0.0328,0.0242,100,4.0,5.0,140.0,6.5,Charpy_V
93.68,0.081,0.33,1.97,0.92,2.32,0.64,0.0314,0.024,100,13.2,16.4,108.1,36.8,Charpy_V
90.15,0.565,0.27,1.02,3.12,4.36,0.46,0.0293,0.0246,100,18.6,23.3,105.3,41.3,Charpy_V
91.04,0.073,0.9,1.61,1.25,4.91,0.18,0.0324,0.0131,-20,4.0,5.0,127.2,0.0,Charpy_V
91.11,0.477,0.51,1.13,3.78,2.63,0.32,0.0224,0.021,-20,5.1,6.3,105.0,0.0,Charpy_V
93.1,0.597,0.11,0.68,2.46,2.1,0.92,0.0158,0.0284,20,4.0,5.0,74.0,2.7,Charpy_V
91.01,0.268,0.8,0.86,3.2,3.37,0.46,0.0074,0.0225,100,54.3,67.9,66.8,90.1,Charpy_V
91.88,0.556,0.45,1.96,1.22,3.05,0.85,0.0291,0.0073,100,4.0,5.0,116.4,25.1,Charpy_V
93.9,0.353,0.28,1.79,3.52,0.13,0.01,0.0137,0.0086,-20,4.0,5.0,84.3,0.1,Charpy_V
90.05,0.183,0.67,1.64,3.77,3.59,0.05,0.0285,0.0175,20,4.1,5.2,116.4,0.2,Charpy_V
89.72,0.714,0.2,0.75,4.17,4.12,0.28,0.0269,0.0218,20,4.4,5.5,99.8,0.5,Charpy_V
90.6,0.369,0.47,0.82,4.38,2.74,0.58,0.0249,0.0125,100,5.9,7.4,106.5,39.4,Charpy_V
94.99,0.606,0.99,0.36,0.21,2.14,0.66,0.0166,0.03,0,4.0,5.0,114.9,0.0,Charpy_V
94.52,0.083,0.8,0.95,0.48,2.84,0.28,0.0248,0.0215,-20,4.0,5.0,113.5,0.0,Charpy_V
91.69,0.35,0.99,0.39,3.94,2.17,0.43,0.0101,0.0179,-40,4.0,5.0,91.2,0.0,Charpy_V
92.41,0.594,0.65,1.57,3.75,0.98,0.0,0.016,0.028,-20,5.0,6.2,103.5,0.0,Charpy_V
92.18,0.364,0.38,0.84,2.23,3.34,0.62,0.0331,0.0179,0,12.9,16.1,117.3,0.0,Charpy_V
94.25,0.322,0.86,1.35,1.12,1.2,0.86,0.0238,0.015,20,11.5,14.3,126.5,0.1,Charpy_V
92.52,0.403,0.71,1.26,4.61,0.2,0.28,0.0067,0.0099,0,4.0,5.0,78.4,0.5,Charpy_V
93.69,0.514,0.44,1.48,3.3,0.07,0.47,0.0273,0.0175,-40,4.0,5.0,128.8,0.0,Charpy_V
92.51,0.475,0.39,1.54,3.27,0.81,0.96,0.0217,0.0181,-40,4.0,5.0,106.2,0.0,Charpy_V
91.86,0.524,0.8,1.59,1.88,2.84,0.45,0.0311,0.027,20,12.1,15.1,136.3,0.0,Charpy_V
93.12,0.256,0.84,0.58,0.0,4.76,0.39,0.0337,0.0119,-40,4.0,5.0,132.7,0.0,Charpy_V
92.64,0.485,0.59,1.78,1.75,2.11,0.6,0.0207,0.023,0,4.0,5.0,106.2,0.1,Charpy_V
93.12,0.497,0.81,0.37,4.11,0.69,0.36,0.0192,0.0274,20,4.0,5.0,119.6,0.1,Charpy_V
92.7,0.16,0.33,1.08,0.55,4.97,0.17,0.0284,0.0257,-20,4.0,5.0,96.6,0.0,Charpy_V
91.07,0.513,0.1,1.24,4.88,1.56,0.59,0.0279,0.0202,0,4.8,5.9,103.6,0.1,Charpy_V
94.78,0.078,0.83,0.35,3.28,0.39,0.25,0.0267,0.012,-40,4.0,5.0,130.5,0.0,Charpy_V
95.04,0.491,0.36,0.69,0.71,1.75,0.93,0.0059,0.0263,-40,12.3,15.3,51.0,0.2,Charpy_V
91.51,0.634,0.45,0.58,2.17,3.86,0.78,0.0119,0.0094,0,4.0,5.0,72.3,0.8,Charpy_V
89.74,0.083,0.76,0.38,4.19,4.53,0.3,0.0072,0.017,-40,4.0,5.0,55.8,0.2,Charpy_V
93.17,0.59,0.84,1.43,2.33,1.48,0.12,0.0198,0.023,-20,10.9,13.7,119.3,0.0,Charpy_V
90.28,0.23,0.1,1.66,4.11,3.49,0.08,0.0226,0.0255,-20,13.1,16.4,79.6,0.1,Charpy_V
93.92,0.61,0.23,1.7,0.47,2.6,0.44,0.0117,0.0125,100,14.1,17.6,65.5,90.9,Charpy_V
91.54,0.369,0.13,1.81,0.82,4.43,0.86,0.0186,0.0174,100,26.3,32.9,71.3,87.1,Charpy_V
92.45,0.712,0.5,1.77,0.65,3.18,0.68,0.0247,0.0162,20,4.6,5.7,111.2,0.2,Charpy_V
93.36,0.373,0.4,1.3,1.69,1.96,0.86,0.0315,0.0257,20,4.0,5.0,120.2,0.1,Charpy_V
90.98,0.682,0.57,1.64,1.63,4.08,0.4,0.0218,0.0094,0,7.5,9.3,104.1,0.1,Charpy_V
95.4,0.254,0.37,1.16,0.67,1.93,0.18,0.0129,0.0227,0,11.9,14.8,71.9,0.8,Charpy_V
91.13,0.302,0.98,0.6,3.77,2.95,0.23,0.0276,0.0162,-20,4.0,5.0,132.8,0.0,Charpy_V
94.36,0.151,0.82,0.69,0.78,3.12,0.08,0.0063,0.0077,-40,4.0,5.0,61.0,0.1,Charpy_V
96.33,0.598,0.79,1.69,0.16,0.05,0.36,0.0096,0.0251,20,4.0,5.0,98.7,0.5,Charpy_V
89.27,0.355,0.4,0.66,4.67,4.4,0.2,0.0156,0.0241,-20,4.0,5.0,74.7,0.2,Charpy_V
90.31,0.442,0.74,1.32,1.93,4.7,0.51,0.0341,0.0191,100,6.5,8.2,132.3,10.4,Charpy_V
90.12,0.535,0.13,1.52,4.31,3.31,0.03,0.0307,0.0233,0,4.0,5.0,104.4,0.1,Charpy_V
93.1,0.7,0.33,0.47,4.32,0.13,0.91,0.0142,0.0177,-40,4.0,5.0,93.0,0.0,Charpy_V
92.83,0.618,0.16,0.77,0.77,4.72,0.09,0.0277,0.0208,100,4.0,5.0,96.9,55.1,Charpy_V
87.94,0.351,0.36,1.32,4.65,4.62,0.7,0.0322,0.0291,-40,11.3,14.2,110.7,0.0,Charpy_V
89.76,0.66,0.18,2.0,3.03,4.27,0.07,0.0167,0.0217,-40,4.0,5.0,73.6,0.1,Charpy_V
94.38,0.212,0.37,1.94,1.44,1.07,0.54,0.0251,0.0231,20,4.0,5.0,106.5,0.3,Charpy_V
90.24,0.078,0.45,1.62,4.52,3.01,0.05,0.0169,0.0069,-40,6.1,7.7,78.2,0.0,Charpy_V
95.13,0.647,0.4,1.49,1.45,0.35,0.5,0.0181,0.0085,0,4.0,5.0,103.9,0.1,Charpy_V
89.33,0.762,0.76,1.56,3.79,3.72,0.02,0.0327,0.0258,-40,4.0,5.0,138.0,0.0,Charpy_V
89.57,0.519,0.13,1.04,2.99,4.84,0.88,0.0134,0.0177,100,7.7,9.6,58.2,94.2,Charpy_V
89.85,0.472,0.23,1.25,3.85,3.59,0.74,0.0134,0.0068,0,4.0,5.0,65.2,1.3,Charpy_V
94.58,0.383,0.38,1.72,2.32,0.3,0.27,0.0119,0.0272,-20,4.0,5.0,81.3,0.1,Charpy_V
91.25,0.716,0.31,0.49,2.5,4.06,0.65,0.0241,0.0054,-40,4.0,5.0,98.8,0.0,Charpy_V
87.82,0.353,0.87,1.85,4.52,4.15,0.41,0.0098,0.0133,-20,4.0,5.0,78.3,0.1,Charpy_V
92.28,0.419,0.29,1.84,3.58,1.42,0.13,0.0136,0.0206,-40,4.0,5.0,76.2,0.0,Charpy_V
92.29,0.745,0.72,1.44,2.34,1.88,0.56,0.0086,0.0164,0,4.0,5.0,81.0,0.4,Charpy_V
95.53,0.55,0.24,0.39,2.55,0.36,0.36,0.0058,0.0094,-40,4.0,5.0,54.2,0.2,Charpy_V
92.95,0.109,0.34,1.46,3.73,0.6,0.78,0.0161,0.022,0,9.1,11.3,83.1,0.4,Charpy_V
93.83,0.645,0.73,0.37,2.6,0.83,0.97,0.0127,0.0155,20,6.4,8.0,99.0,0.5,Charpy_V
88.71,0.762,0.36,0.44,4.13,4.99,0.58,0.0068,0.0245,-40,9.0,11.2,47.7,0.3,Charpy_V
95.22,0.634,0.39,0.53,2.75,0.1,0.32,0.0275,0.0278,0,4.0,5.0,128.3,0.0,Charpy_V
92.22,0.341,0.8,0.52,2.19,3.49,0.41,0.0068,0.0226,0,4.0,5.0,64.9,1.3,Charpy_V
91.46,0.256,0.31,0.82,4.37,2.59,0.16,0.0282,0.0102,100,19.5,24.4,104.9,41.9,Charpy_V
92.33,0.171,0.85,1.42,1.66,2.58,0.97,0.0115,0.0175,-20,4.0,5.0,84.2,0.1,Charpy_V
91.9,0.595,0.8,1.75,1.51,2.55,0.86,0.0309,0.0056,100,4.0,5.0,137.9,7.4,Charpy_V
91.3,0.15,0.39,0.97,4.7,1.98,0.5,0.0124,0.005,20,4.0,5.0,68.4,3.8,Charpy_V
90.2,0.111,0.97,0.52,3.02,5.0,0.14,0.0177,0.0245,-40,5.5,6.9,98.4,0.0,Charpy_V
92.37,0.653,0.21,1.72,1.94,2.64,0.43,0.0193,0.0121,-40,8.9,11.1,86.5,0.0,Charpy_V
96.8,0.129,0.51,0.51,1.22,0.67,0.11,0.0315,0.0219,-20,5.4,6.7,126.0,0.0,Charpy_V
95.94,0.792,0.11,0.82,0.31,1.58,0.41,0.0326,0.007,0,4.0,5.0,117.5,0.0,Charpy_V
92.59,0.347,0.83,1.17,0.2,4.73,0.08,0.0229,0.0269,-40,4.0,5.0,111.5,0.0,Charpy_V
92.13,0.099,0.55,0.72,1.37,4.11,0.99,0.0189,0.013,100,38.6,48.2,85.0,73.0,Charpy_V
86.61,0.765,0.52,1.93,4.69,4.51,0.91,0.0319,0.0255,100,4.0,5.0,123.8,17.0,Charpy_V
91.43,0.645,0.54,0.54,4.42,1.69,0.7,0.0137,0.0175,20,8.8,11.1,89.4,1.0,Charpy_V
90.2,0.362,0.32,1.92,3.18,2.99,1.0,0.0234,0.0212,100,16.2,20.2,95.2,57.9,Charpy_V
89.69,0.47,0.27,1.13,4.61,3.09,0.72,0.0151,0.0097,-20,4.0,5.0,73.7,0.2,Charpy_V
90.55,0.45,0.35,1.22,3.54,3.67,0.16,0.0275,0.0218,-40,4.0,5.0,105.3,0.0,Charpy_V
90.12,0.16,0.14,0.57,4.79,3.64,0.53,0.0332,0.0205,100,18.7,23.4,101.6,47.3,Charpy_V
88.37,0.429,0.91,1.8,3.75,3.81,0.9,0.0271,0.0135,0,4.0,5.0,128.0,0.0,Charpy_V
91.57,0.674,0.69,1.17,1.18,4.61,0.05,0.0257,0.0205,-20,8.5,10.6,116.9,0.0,Charpy_V
95.82,0.103,0.65,0.47,1.42,0.93,0.55,0.0316,0.0209,20,4.0,5.0,130.0,0.1,Charpy_V
93.27,0.353,0.92,1.2,2.83,0.88,0.5,0.0325,0.019,20,4.0,5.0,149.9,0.0,Charpy_V
89.77,0.678,0.77,1.92,2.8,3.74,0.28,0.0254,0.0227,-20,4.0,5.0,122.2,0.0,Charpy_V
93.26,0.328,0.97,0.57,2.71,1.6,0.53,0.0216,0.0072,-20,12.1,15.1,124.5,0.0,Charpy_V
93.32,0.526,0.79,0.45,1.49,3.25,0.14,0.0253,0.0065,100,4.0,5.0,122.5,18.2,Charpy_V
90.39,0.798,0.78,1.32,4.92,1.58,0.17,0.0271,0.012,100,8.2,10.3,135.9,8.4,Charpy_V
92.77,0.057,0.28,0.49,1.59,4.13,0.65,0.0101,0.0247,100,62.0,77.5,45.3,97.5,Charpy_V
92.69,0.698,0.39,0.46,1.51,3.58,0.66,0.0106,0.0078,-20,4.0,5.0,66.8,0.3,Charpy_V
90.76,0.557,0.43,1.73,4.89,1.03,0.58,0.0052,0.0228,0,4.0,5.0,54.9,2.5,Charpy_V
96.0,0.268,0.83,0.67,0.06,2.07,0.06,0.0137,0.0211,0,4.0,5.0,94.4,0.2,Charpy_V
90.2,0.65,0.58,1.34,2.58,4.4,0.24,0.0129,0.0082,20,4.0,5.0,79.5,1.9,Charpy_V
95.66,0.187,0.23,0.88,0.21,2.18,0.6,0.0332,0.0206,-20,4.0,5.0,111.4,0.0,Charpy_V
93.56,0.131,0.58,1.69,1.89,1.76,0.34,0.0327,0.0062,-40,4.0,5.0,126.0,0.0,Charpy_V
92.21,0.122,0.47,0.99,4.44,1.08,0.64,0.009,0.0288,-20,4.0,5.0,64.0,0.4,Charpy_V
96.92,0.428,0.54,1.04,0.14,0.83,0.06,0.0259,0.0153,20,4.0,5.0,121.3,0.1,Charpy_V
92.26,0.397,0.75,1.52,2.4,2.62,0.03,0.0141,0.0137,20,4.0,5.0,92.3,0.8,Charpy_V
93.53,0.485,0.39,1.93,3.06,0.02,0.56,0.0159,0.0058,-40,4.0,5.0,99.9,0.0,Charpy_V
93.52,0.53,0.68,1.44,1.94,1.85,0.0,0.0096,0.0288,-40,12.4,15.5,79.8,0.0,Charpy_V
94.15,0.517,0.48,1.79,2.62,0.18,0.22,0.0185,0.0224,20,4.0,5.0,108.2,0.3,Charpy_V
92.53,0.537,0.61,0.41,0.79,4.82,0.26,0.0165,0.0177,20,8.3,10.3,88.9,1.0,Charpy_V
87.2,0.664,0.77,1.86,4.32,4.97,0.18,0.0141,0.0209,20,4.0,5.0,90.3,0.9,Charpy_V
95.85,0.681,0.96,0.99,1.12,0.1,0.24,0.026,0.0278,0,4.0,5.0,150.9,0.0,Charpy_V
90.73,0.465,0.73,0.77,2.85,3.58,0.84,0.0186,0.0237,20,4.0,5.0,101.6,0.4,Charpy_V
91.79,0.368,0.74,0.93,2.47,3.23,0.44,0.0288,0.0079,-40,7.6,9.4,124.8,0.0,Charpy_V
96.11,0.289,0.48,1.51,0.05,1.38,0.14,0.0088,0.029,20,14.8,18.5,66.0,4.4,Charpy_V
91.29,0.086,0.32,1.71,4.31,1.86,0.37,0.0277,0.0124,100,21.0,26.2,102.2,46.3,Charpy_V
94.29,0.45,0.11,1.72,2.56,0.79,0.07,0.0069,0.0114,-40,4.0,5.0,48.5,0.3,Charpy_V
