Fe,C,Si,Mn,Cr,Ni,Mo,V,tensile_strength_MPa,fatigue_limit_MPa,fatigue_ratio,basquin_exponent,cycles_to_failure_1e6,test_type,R_ratio
88.54,0.929,0.9,1.93,3.61,1.31,2.56,0.22,1742.4,927.6,0.532,-0.0614,8.0,torsion,0.1
74.35,1.066,0.73,1.17,11.28,11.12,0.06,0.238,2155.0,1138.5,0.528,-0.1069,6.49,axial,-1.0
81.73,0.463,1.23,0.77,3.79,11.49,0.03,0.499,1430.3,711.4,0.497,-0.0653,8.0,torsion,0.0
79.39,0.066,1.13,1.72,13.33,1.71,2.26,0.384,1210.8,702.8,0.58,-0.0782,8.0,torsion,-1.0
91.08,0.882,0.49,1.47,0.44,3.67,1.65,0.316,1615.7,778.8,0.482,-0.0731,8.0,rotating_bending,-1.0
83.95,0.166,1.32,1.46,2.03,10.1,0.73,0.239,1087.5,531.3,0.489,-0.1023,6.82,axial,0.1
91.19,0.512,0.51,0.56,4.79,0.26,1.75,0.421,1225.2,615.3,0.502,-0.1018,6.97,rotating_bending,-1.0
82.58,0.297,0.68,1.59,3.38,8.64,2.6,0.227,1249.9,635.9,0.509,-0.0834,8.0,axial,0.0
83.0,0.996,1.23,1.24,9.36,1.71,2.33,0.136,2007.7,1035.4,0.516,-0.0979,7.31,axial,0.0
90.83,0.88,0.48,0.98,1.85,2.27,2.35,0.358,1645.9,817.2,0.497,-0.087,8.0,axial,-1.0
78.2,1.132,0.22,1.88,14.88,1.56,1.69,0.433,2174.6,1197.4,0.551,-0.0606,8.0,torsion,-1.0
82.99,0.536,0.63,1.89,12.15,1.39,0.13,0.282,1420.8,688.0,0.484,-0.0625,8.0,rotating_bending,-1.0
75.94,0.37,0.28,1.45,16.99,3.23,1.43,0.317,1467.4,890.8,0.607,-0.1087,6.13,axial,0.1
88.27,0.625,0.71,1.08,3.76,4.42,1.11,0.026,1366.7,699.3,0.512,-0.064,8.0,rotating_bending,-1.0
72.74,1.05,1.12,1.4,14.33,9.05,0.11,0.197,2230.5,1270.7,0.57,-0.1075,6.26,torsion,0.0
81.73,0.792,0.65,1.51,3.59,10.68,0.86,0.184,1633.5,839.1,0.514,-0.1141,5.95,rotating_bending,0.0
84.09,0.438,0.13,0.51,7.45,5.91,1.21,0.265,1271.6,649.8,0.511,-0.1144,6.13,torsion,-1.0
79.08,1.158,0.83,1.45,5.61,9.29,2.32,0.261,2164.9,1030.2,0.476,-0.1139,6.44,rotating_bending,-1.0
89.41,0.939,0.83,0.89,6.69,0.02,0.9,0.323,1714.4,939.0,0.548,-0.0642,8.0,rotating_bending,0.1
88.64,1.004,0.95,0.79,3.73,1.83,2.7,0.355,1842.7,914.1,0.496,-0.1114,6.41,axial,0.0
75.65,1.189,0.43,1.2,11.72,7.74,1.68,0.388,2277.8,1120.9,0.492,-0.0715,8.0,torsion,0.0
78.01,1.08,1.29,0.84,4.97,11.78,1.58,0.453,2149.1,1141.2,0.531,-0.0582,8.0,axial,0.0
93.33,0.59,1.35,1.5,1.12,1.77,0.02,0.315,1256.7,574.3,0.457,-0.1069,6.71,axial,0.0
83.38,0.659,0.44,1.15,12.23,0.91,0.82,0.403,1628.4,836.6,0.514,-0.1124,6.38,axial,0.0
68.89,0.562,0.39,0.38,15.19,11.77,2.38,0.427,1745.6,903.9,0.518,-0.0574,8.0,torsion,0.1
81.66,1.178,0.9,0.74,7.87,7.12,0.22,0.311,2097.9,1096.4,0.523,-0.1053,6.54,axial,0.1
68.0,0.317,0.74,1.63,17.28,9.16,2.57,0.302,1636.5,980.6,0.599,-0.0679,8.0,axial,0.1
73.45,0.78,0.41,0.85,15.26,8.75,0.29,0.214,1850.5,1008.7,0.545,-0.1079,6.46,rotating_bending,0.0
84.86,0.508,1.39,1.99,0.81,9.13,1.12,0.196,1393.3,689.1,0.495,-0.0599,8.0,rotating_bending,0.1
84.36,0.714,0.6,1.64,4.52,6.77,1.08,0.328,1559.5,830.7,0.533,-0.1089,6.18,axial,0.1
84.3,0.304,0.15,0.36,3.15,10.4,0.85,0.475,1102.2,541.5,0.491,-0.0888,8.0,torsion,-1.0
77.04,0.644,1.16,0.78,6.35,10.73,2.84,0.446,1803.0,922.2,0.511,-0.0851,8.0,rotating_bending,-1.0
88.37,0.344,0.51,1.31,0.59,7.63,1.09,0.148,1075.0,543.0,0.505,-0.0874,7.82,torsion,0.1
74.32,1.011,0.57,1.48,13.88,7.86,0.45,0.438,2052.9,1062.7,0.518,-0.1127,6.37,axial,-1.0
84.87,0.93,0.1,1.01,9.41,0.66,2.92,0.113,1798.1,896.3,0.498,-0.0968,7.6,torsion,0.1
76.21,0.11,0.37,0.83,13.17,7.69,1.25,0.38,1196.1,677.5,0.566,-0.0998,6.86,torsion,0.0
84.73,0.194,0.57,2.0,7.3,2.65,2.29,0.271,1120.8,526.6,0.47,-0.0922,8.0,torsion,0.1
83.53,0.917,0.13,0.76,9.32,3.23,1.89,0.241,1795.0,950.3,0.529,-0.1072,6.53,rotating_bending,0.0
73.91,0.948,1.09,0.59,17.5,5.39,0.48,0.09,2056.3,1002.1,0.487,-0.0668,8.0,torsion,0.1
95.92,0.194,1.29,0.89,0.56,0.62,0.43,0.107,790.6,332.0,0.42,-0.0691,8.0,torsion,-1.0
82.35,1.139,0.79,0.95,2.93,9.43,2.2,0.192,2065.4,900.4,0.436,-0.0647,8.0,axial,0.0
79.03,0.758,1.28,0.47,10.06,6.01,2.12,0.267,1744.8,869.3,0.498,-0.0861,8.0,rotating_bending,0.0
79.6,0.686,0.66,0.52,15.58,1.89,0.93,0.145,1703.6,980.6,0.576,-0.0746,8.0,rotating_bending,0.1
70.4,0.41,1.41,1.75,17.67,7.54,0.74,0.081,1623.2,856.2,0.527,-0.0589,8.0,rotating_bending,-1.0
88.52,1.06,0.95,0.72,6.41,1.01,1.0,0.339,1841.2,825.5,0.448,-0.1027,7.37,torsion,-1.0
85.89,0.788,1.04,1.37,3.58,5.02,2.25,0.051,1626.8,781.1,0.48,-0.0562,8.0,axial,0.0
87.6,0.647,0.35,1.95,2.04,4.84,2.21,0.352,1431.7,685.3,0.479,-0.0942,7.68,torsion,0.1
76.78,0.746,0.82,1.56,11.35,6.6,2.07,0.072,1783.2,1017.6,0.571,-0.1109,6.06,rotating_bending,0.0
77.99,0.85,0.74,0.46,9.96,7.7,2.11,0.187,1883.9,989.7,0.525,-0.088,8.0,axial,-1.0
92.4,0.655,0.45,0.3,3.13,1.4,1.35,0.306,1278.9,556.1,0.435,-0.0774,8.0,rotating_bending,0.1
78.84,0.341,0.73,1.93,7.18,10.08,0.57,0.336,1383.9,757.6,0.547,-0.1089,6.14,axial,0.1
74.99,0.549,0.23,1.57,16.46,5.21,0.78,0.217,1667.5,921.1,0.552,-0.1005,6.98,rotating_bending,0.1
92.83,0.279,1.33,1.56,0.25,2.98,0.64,0.135,1029.9,447.1,0.434,-0.1112,6.62,rotating_bending,0.0
80.92,0.893,0.95,1.44,1.46,11.42,2.52,0.403,1842.3,922.9,0.501,-0.0704,8.0,torsion,0.0
82.67,0.385,1.18,1.03,3.71,9.6,1.0,0.433,1337.1,709.0,0.53,-0.0634,8.0,axial,0.1
78.24,0.572,0.98,0.72,12.7,5.13,1.33,0.325,1608.6,836.2,0.52,-0.1137,6.3,axial,0.1
84.59,0.115,0.79,1.88,1.9,9.17,1.23,0.328,1025.8,463.2,0.452,-0.1054,6.99,rotating_bending,-1.0
71.43,0.955,1.42,1.57,12.97,9.92,1.34,0.403,2253.2,1128.0,0.501,-0.0704,8.0,axial,-1.0
73.92,1.002,0.4,1.68,14.15,7.59,1.12,0.136,2028.0,1004.7,0.495,-0.0959,7.74,rotating_bending,-1.0
75.96,0.139,1.26,0.89,9.39,9.53,2.65,0.172,1208.9,560.6,0.464,-0.0972,7.87,torsion,-1.0
80.79,0.523,1.11,0.95,8.81,5.16,2.22,0.431,1526.5,798.4,0.523,-0.0676,8.0,axial,0.0
73.29,0.673,0.58,1.0,13.18,10.58,0.36,0.317,1739.4,846.2,0.486,-0.0963,7.73,torsion,0.1
74.81,0.33,0.47,0.87,13.49,6.86,2.96,0.207,1466.2,839.5,0.573,-0.0627,8.0,torsion,0.0
83.48,0.524,1.16,0.65,5.9,6.56,1.73,0.011,1435.2,705.9,0.492,-0.059,8.0,torsion,0.0
72.76,0.639,0.26,1.6,12.22,9.28,2.85,0.388,1818.5,1005.2,0.553,-0.0636,8.0,torsion,-1.0
71.48,0.519,1.34,0.68,12.86,10.58,2.19,0.349,1758.4,1019.9,0.58,-0.1028,6.61,torsion,0.0
70.28,0.96,0.73,0.61,15.39,10.59,1.4,0.038,2177.8,1131.2,0.519,-0.0668,8.0,torsion,0.0
75.69,0.127,1.33,0.96,9.75,11.62,0.2,0.324,1217.5,653.7,0.537,-0.089,7.75,rotating_bending,0.1
76.02,0.099,0.72,0.42,13.13,7.3,2.12,0.187,1171.3,605.4,0.517,-0.1123,6.45,torsion,0.1
74.95,1.119,0.63,1.71,15.16,4.48,1.9,0.048,2169.6,1176.1,0.542,-0.0837,8.0,axial,0.1
83.9,0.829,1.16,0.32,3.73,8.56,1.16,0.331,1775.0,831.1,0.468,-0.0916,8.0,axial,-1.0
71.5,0.347,0.95,1.04,13.94,10.23,1.62,0.379,1540.5,864.6,0.561,-0.0918,7.59,torsion,-1.0
75.22,0.328,0.4,1.02,16.34,6.08,0.56,0.038,1320.7,729.8,0.553,-0.092,7.59,axial,0.1
78.45,0.808,1.21,0.76,12.46,3.17,2.82,0.318,1879.1,942.6,0.502,-0.0733,8.0,rotating_bending,0.1
70.99,0.735,0.47,1.43,14.67,9.34,2.28,0.094,1890.6,925.3,0.489,-0.0731,8.0,rotating_bending,-1.0
69.74,0.584,0.47,1.01,15.99,9.89,1.89,0.429,1803.8,923.9,0.512,-0.0841,8.0,torsion,-1.0
72.13,0.552,1.03,0.46,13.46,9.75,2.12,0.484,1812.0,1050.6,0.58,-0.0608,8.0,rotating_bending,0.1
81.36,0.972,1.04,0.31,8.38,6.85,0.91,0.159,1890.8,842.4,0.446,-0.1102,6.91,rotating_bending,0.1
80.88,0.068,0.12,1.86,12.71,3.71,0.4,0.256,1030.3,473.7,0.46,-0.0587,8.0,rotating_bending,-1.0
76.04,0.513,0.65,0.42,11.49,8.8,2.03,0.069,1616.5,912.1,0.564,-0.0923,7.4,axial,0.1
80.44,0.761,0.99,1.1,7.98,5.93,2.58,0.231,1834.9,1036.0,0.565,-0.0848,8.0,torsion,-1.0
76.39,0.826,1.05,0.93,16.95,2.01,1.5,0.345,1979.0,1029.5,0.52,-0.1056,6.96,torsion,-1.0
75.0,0.256,1.09,1.07,12.02,10.05,0.51,0.01,1376.2,743.8,0.54,-0.0784,8.0,torsion,0.1
79.04,1.014,1.22,1.93,9.65,5.86,1.21,0.077,1991.9,1102.2,0.553,-0.08,8.0,torsion,0.0
73.29,0.858,0.19,0.69,16.48,7.4,0.74,0.345,1959.6,1078.1,0.55,-0.0849,8.0,torsion,0.1
78.74,0.836,0.63,1.66,15.92,1.5,0.6,0.108,1862.1,1012.1,0.544,-0.0586,8.0,rotating_bending,0.0
80.19,0.197,0.59,1.04,7.13,8.03,2.68,0.153,1236.6,637.4,0.515,-0.0676,8.0,torsion,0.0
93.42,0.314,0.76,0.76,1.82,2.01,0.44,0.487,934.8,471.6,0.504,-0.0954,7.21,rotating_bending,0.0
84.74,0.074,1.26,0.92,6.37,3.63,2.93,0.085,1010.6,557.6,0.552,-0.0684,8.0,axial,0.1
72.53,1.185,0.48,0.47,14.93,8.48,1.85,0.078,2341.5,1199.4,0.512,-0.0963,7.63,axial,0.1
81.32,0.145,0.74,0.82,14.8,0.68,1.26,0.229,1122.4,628.2,0.56,-0.0805,8.0,torsion,-1.0
67.35,1.042,0.54,1.21,15.12,11.87,2.67,0.186,2313.8,1331.8,0.576,-0.0854,8.0,axial,0.1
85.16,0.807,0.26,1.66,2.22,8.38,1.25,0.257,1573.8,818.0,0.52,-0.0616,8.0,rotating_bending,-1.0
73.2,0.637,1.13,1.17,15.65,4.83,2.91,0.466,1859.7,951.3,0.512,-0.0637,8.0,rotating_bending,0.0
71.68,1.032,0.79,0.99,16.26,7.25,1.73,0.279,2251.0,1191.7,0.529,-0.0679,8.0,torsion,0.0
72.43,0.472,0.22,1.25,15.21,9.55,0.53,0.336,1562.0,898.0,0.575,-0.1,6.8,axial,-1.0
87.27,0.767,0.94,0.39,6.78,2.78,0.8,0.277,1554.6,716.5,0.461,-0.0974,7.66,axial,0.1
81.92,0.096,0.51,0.65,4.29,10.9,1.4,0.233,978.2,475.2,0.486,-0.0892,8.0,rotating_bending,0.0
79.51,1.199,1.18,0.98,14.9,2.05,0.09,0.102,2200.2,1103.9,0.502,-0.0844,8.0,torsion,-1.0
80.08,0.589,1.18,0.51,11.27,3.34,2.56,0.464,1636.3,842.3,0.515,-0.0871,8.0,rotating_bending,0.0
76.19,1.102,0.36,1.87,12.52,7.33,0.6,0.028,2127.1,1106.5,0.52,-0.0759,8.0,rotating_bending,0.0
88.16,0.829,0.89,1.88,6.97,0.79,0.06,0.413,1682.1,777.5,0.462,-0.0943,7.88,rotating_bending,-1.0
81.61,1.156,1.04,1.89,4.78,7.34,2.04,0.159,2125.9,1130.0,0.532,-0.0582,8.0,torsion,0.0
85.99,0.369,0.49,1.94,0.19,8.59,2.12,0.311,1197.7,563.9,0.471,-0.0993,7.25,axial,-1.0
79.77,1.126,0.36,0.93,16.72,0.74,0.28,0.081,2048.6,1107.8,0.541,-0.106,6.64,axial,-1.0
78.86,0.564,0.8,0.72,8.48,7.94,2.25,0.377,1627.4,900.5,0.553,-0.0696,8.0,rotating_bending,0.1
72.75,0.582,1.31,0.72,12.91,10.27,1.07,0.379,1773.9,891.0,0.502,-0.0971,7.58,rotating_bending,0.0
80.05,0.269,0.36,0.88,7.74,9.97,0.36,0.367,1140.7,565.3,0.496,-0.097,7.38,torsion,0.0
89.75,0.777,0.92,0.96,6.39,0.54,0.65,0.008,1519.7,750.1,0.494,-0.1086,6.48,torsion,0.0
75.49,0.652,1.08,1.0,10.09,11.31,0.25,0.127,1698.4,769.9,0.453,-0.0933,8.0,torsion,-1.0
72.26,0.723,0.42,1.82,14.1,8.4,1.85,0.432,1907.3,966.3,0.507,-0.0626,8.0,rotating_bending,0.1
79.85,0.91,0.89,0.72,7.62,9.52,0.1,0.391,1843.2,832.7,0.452,-0.1134,6.61,rotating_bending,0.1
83.12,0.301,1.49,1.28,2.48,8.27,2.69,0.373,1294.7,579.1,0.447,-0.0612,8.0,axial,0.1
76.1,0.11,0.88,0.57,15.02,4.3,2.74,0.283,1243.6,693.8,0.558,-0.0693,8.0,rotating_bending,-1.0
84.21,0.367,0.39,0.33,12.23,0.92,1.26,0.301,1234.1,708.3,0.574,-0.0963,7.01,axial,0.0
69.73,0.802,0.97,0.86,16.71,10.14,0.67,0.12,2048.4,982.9,0.48,-0.0734,8.0,torsion,0.1
90.29,0.316,1.05,1.9,0.84,3.84,1.31,0.45,1117.1,586.0,0.525,-0.0884,7.65,rotating_bending,0.0
87.55,0.827,1.02,0.42,7.11,2.18,0.47,0.414,1638.0,751.9,0.459,-0.0622,8.0,torsion,0.1
74.32,0.316,0.8,1.54,17.25,2.65,2.66,0.467,1515.3,930.5,0.614,-0.0769,8.0,rotating_bending,0.1
78.32,0.155,0.54,0.37,14.06,4.78,1.33,0.447,1198.9,641.8,0.535,-0.089,8.0,torsion,0.0
90.41,0.641,0.53,1.27,5.85,0.47,0.82,0.003,1331.2,712.4,0.535,-0.0571,8.0,rotating_bending,-1.0
85.74,0.293,1.3,1.69,7.93,1.59,1.15,0.31,1259.4,703.5,0.559,-0.1035,6.45,axial,-1.0
84.96,0.546,0.53,0.64,1.18,10.65,1.26,0.248,1351.7,697.5,0.516,-0.0684,8.0,axial,-1.0
74.18,0.7,0.72,1.66,13.04,8.28,1.02,0.402,1812.0,898.5,0.496,-0.0652,8.0,axial,-1.0
90.04,0.4,0.47,0.78,5.0,0.43,2.78,0.107,1157.1,568.2,0.491,-0.1144,6.28,torsion,-1.0
85.16,0.891,1.43,1.63,5.65,2.97,2.09,0.182,1822.1,819.6,0.45,-0.0829,8.0,torsion,0.1
91.7,0.914,0.28,1.17,3.5,1.12,1.23,0.082,1571.3,705.6,0.449,-0.0959,7.75,rotating_bending,-1.0
83.36,0.153,0.37,0.39,11.28,3.45,0.84,0.166,1043.9,565.3,0.542,-0.0713,8.0,torsion,0.1
73.59,0.659,0.33,1.27,14.5,9.12,0.46,0.075,1730.9,855.5,0.494,-0.0933,7.92,axial,0.0
81.85,0.115,0.15,0.97,12.55,2.32,1.92,0.13,1010.6,521.8,0.516,-0.1006,7.19,torsion,0.1
84.84,1.0,1.04,1.7,7.15,1.88,2.21,0.18,1898.2,997.3,0.525,-0.0988,7.08,axial,-1.0
67.13,1.191,0.32,1.98,17.59,9.53,1.98,0.289,2454.1,1348.5,0.549,-0.0778,8.0,axial,0.0
83.74,0.762,1.03,1.15,11.61,0.28,1.29,0.139,1709.2,810.8,0.474,-0.109,6.87,torsion,0.0
84.25,0.652,0.46,1.1,8.86,2.34,1.96,0.39,1568.5,811.8,0.518,-0.1113,6.38,torsion,0.0
75.58,0.825,1.29,0.85,12.18,7.13,1.81,0.341,2005.3,1078.1,0.538,-0.0893,7.96,axial,-1.0
81.43,0.071,0.75,1.9,5.83,7.93,1.96,0.126,1004.6,457.0,0.455,-0.0729,8.0,torsion,-1.0
87.82,1.196,0.36,1.31,7.4,1.52,0.08,0.311,1959.8,1028.0,0.525,-0.0645,8.0,torsion,0.0
81.78,0.54,0.87,0.6,5.33,7.97,2.9,0.025,1496.8,760.0,0.508,-0.085,8.0,axial,0.0
75.85,0.153,0.94,0.88,16.51,4.88,0.43,0.357,1285.5,657.7,0.512,-0.0835,8.0,rotating_bending,-1.0
81.16,0.404,1.27,1.34,10.46,3.04,2.27,0.041,1419.2,674.9,0.476,-0.0885,8.0,axial,0.0
89.37,0.837,1.36,1.72,2.29,1.52,2.44,0.462,1724.0,842.0,0.488,-0.0851,8.0,rotating_bending,-1.0
80.85,1.078,1.0,0.79,5.38,10.69,0.04,0.161,1945.5,846.0,0.435,-0.0661,8.0,rotating_bending,0.1
74.68,0.997,1.36,1.24,14.62,4.61,2.0,0.494,2204.9,1128.2,0.512,-0.0916,8.0,rotating_bending,0.1
87.65,0.143,1.26,1.96,7.29,1.05,0.2,0.446,955.4,470.1,0.492,-0.0959,7.49,axial,-1.0
79.07,1.038,0.93,1.48,6.56,8.86,2.0,0.06,2027.3,1027.7,0.507,-0.0996,7.11,torsion,0.1
92.16,0.625,1.12,1.35,3.36,0.31,0.85,0.222,1382.1,615.8,0.446,-0.1075,6.91,axial,0.0
86.76,0.174,0.77,1.3,9.74,1.03,0.17,0.053,992.7,502.3,0.506,-0.0823,8.0,axial,0.1
79.45,0.783,1.25,0.37,8.97,8.27,0.76,0.154,1794.1,960.0,0.535,-0.08,8.0,axial,0.1
83.75,0.47,1.0,1.09,3.42,8.42,1.67,0.179,1379.0,729.1,0.529,-0.1137,5.91,rotating_bending,-1.0
77.71,0.932,1.08,0.86,12.16,4.75,2.27,0.227,2034.5,1019.1,0.501,-0.1078,6.84,torsion,0.1
93.41,0.447,1.24,1.09,1.38,1.99,0.18,0.25,1124.8,475.7,0.423,-0.1082,6.95,rotating_bending,-1.0
80.94,0.182,1.34,1.01,6.97,7.92,1.33,0.324,1199.3,661.0,0.551,-0.1059,6.34,axial,-1.0
88.5,0.742,0.91,0.98,6.09,1.52,1.18,0.081,1539.2,793.2,0.515,-0.1025,6.75,axial,-1.0
92.53,0.098,0.61,0.47,2.1,3.05,0.89,0.265,793.9,346.4,0.436,-0.1047,7.15,rotating_bending,0.1
82.47,0.224,0.71,1.31,1.45,11.27,2.27,0.293,1208.3,626.9,0.519,-0.1102,6.18,torsion,0.0
79.24,0.775,1.26,1.63,4.99,11.29,0.37,0.438,1800.6,890.1,0.494,-0.0588,8.0,rotating_bending,0.0
83.39,0.603,1.23,1.92,0.4,11.79,0.26,0.407,1435.0,632.4,0.441,-0.1071,6.86,torsion,0.0
75.31,0.791,0.63,0.39,10.79,10.83,1.15,0.108,1808.2,990.4,0.548,-0.0654,8.0,axial,-1.0
74.73,0.629,0.2,0.67,16.84,5.59,1.34,0.007,1673.6,849.8,0.508,-0.063,8.0,torsion,0.1
86.84,0.769,0.9,0.61,1.07,7.25,2.29,0.262,1622.8,708.2,0.436,-0.0885,8.0,torsion,0.1
90.93,0.262,0.38,0.96,0.92,4.77,1.54,0.242,928.8,428.2,0.461,-0.0647,8.0,torsion,0.1
75.53,0.121,0.2,1.28,10.19,10.54,1.67,0.48,1262.1,592.0,0.469,-0.0582,8.0,axial,-1.0
89.65,0.139,0.34,0.52,2.22,6.22,0.74,0.179,849.4,443.2,0.522,-0.0739,8.0,torsion,-1.0
94.14,0.214,0.63,1.24,1.38,0.05,2.01,0.321,892.7,421.8,0.472,-0.1136,6.33,rotating_bending,0.0
74.66,1.187,0.16,1.95,9.9,11.56,0.34,0.245,2127.6,991.9,0.466,-0.1119,6.65,axial,0.1
81.32,0.289,0.92,0.49,5.98,9.38,1.31,0.314,1270.8,605.5,0.476,-0.0738,8.0,axial,0.0
76.14,0.89,0.79,1.37,13.31,7.35,0.05,0.097,1930.0,1057.5,0.548,-0.0986,6.96,torsion,-1.0
85.99,1.008,1.23,1.77,1.07,8.3,0.42,0.208,1773.6,825.3,0.465,-0.0552,8.0,torsion,-1.0
67.76,0.203,0.32,1.91,15.83,10.88,2.97,0.104,1519.6,809.5,0.533,-0.0748,8.0,torsion,0.1
83.57,0.531,0.6,1.31,10.36,1.94,1.42,0.277,1403.4,762.6,0.543,-0.1135,6.06,axial,0.1
75.35,0.947,0.89,0.74,12.51,6.81,2.39,0.368,2088.6,1147.0,0.549,-0.0857,8.0,torsion,-1.0
88.42,1.099,0.19,1.48,3.29,3.83,1.25,0.454,1842.7,859.9,0.467,-0.1087,6.71,torsion,0.1
81.05,0.71,0.19,0.35,12.86,4.34,0.38,0.127,1578.9,837.4,0.53,-0.0985,7.13,rotating_bending,0.0
74.18,0.714,1.35,1.31,14.58,5.16,2.25,0.457,1897.8,983.2,0.518,-0.1031,7.15,torsion,0.0
82.07,0.402,0.88,1.3,7.68,7.39,0.24,0.044,1307.8,591.4,0.452,-0.0839,8.0,axial,-1.0
73.06,0.984,0.12,1.4,12.04,9.58,2.8,0.01,2154.6,1182.4,0.549,-0.0743,8.0,rotating_bending,0.0
82.62,0.896,0.39,0.53,11.49,3.84,0.17,0.069,1693.0,759.9,0.449,-0.0608,8.0,axial,-1.0
79.35,0.291,0.68,0.91,16.41,0.48,1.54,0.34,1338.3,779.1,0.582,-0.11,6.21,rotating_bending,0.0
90.69,0.48,1.34,0.56,2.73,3.94,0.16,0.091,1221.9,628.0,0.514,-0.0893,7.56,axial,0.1
76.35,0.63,0.54,1.03,11.61,8.94,0.7,0.203,1628.3,888.1,0.545,-0.0604,8.0,torsion,-1.0
77.85,0.422,1.17,0.54,11.84,7.7,0.08,0.394,1443.1,806.4,0.559,-0.099,6.85,torsion,0.0
77.86,0.414,1.23,1.79,5.44,10.3,2.57,0.382,1539.3,856.3,0.556,-0.074,8.0,rotating_bending,0.1
88.46,0.626,1.0,1.17,2.16,3.74,2.41,0.431,1448.9,654.2,0.451,-0.0579,8.0,rotating_bending,0.0
72.94,0.812,1.15,1.68,17.02,3.76,2.58,0.066,2062.4,1181.8,0.573,-0.0999,6.99,torsion,0.1
78.08,0.244,0.18,1.52,8.56,10.19,1.15,0.084,1234.0,664.1,0.538,-0.0821,8.0,axial,0.1
75.89,0.878,0.82,1.33,8.3,9.94,2.49,0.355,2022.9,1015.4,0.502,-0.0622,8.0,torsion,0.0
70.28,0.519,1.34,0.38,17.31,8.15,1.89,0.135,1806.5,934.7,0.517,-0.0585,8.0,rotating_bending,0.0
88.04,0.942,0.65,0.54,0.19,6.53,2.93,0.185,1691.2,817.8,0.484,-0.0886,8.0,rotating_bending,0.1
76.78,0.631,0.81,0.54,17.69,3.0,0.22,0.332,1649.3,907.9,0.55,-0.0901,7.86,rotating_bending,-1.0
78.77,0.953,0.37,1.69,11.68,5.03,1.37,0.128,1937.1,963.1,0.497,-0.0792,8.0,torsion,-1.0
92.37,0.551,1.39,0.89,0.99,2.45,1.26,0.11,1324.1,551.1,0.416,-0.0601,8.0,axial,0.0
70.81,0.996,1.15,1.55,15.77,8.67,0.7,0.353,2185.7,1058.7,0.484,-0.0704,8.0,rotating_bending,0.0
92.26,0.177,0.15,1.99,4.19,0.65,0.57,0.019,796.4,368.8,0.463,-0.0669,8.0,rotating_bending,-1.0
70.91,0.561,1.05,1.17,15.51,10.39,0.03,0.389,1764.0,929.3,0.527,-0.0558,8.0,axial,0.0
75.96,0.95,1.34,0.98,15.53,3.2,1.6,0.429,2106.6,1101.6,0.523,-0.0578,8.0,torsion,0.0
88.83,0.438,1.26,0.3,5.54,2.89,0.7,0.034,1218.4,560.1,0.46,-0.09,8.0,axial,-1.0
86.32,1.057,1.37,1.14,5.94,1.28,2.86,0.03,1920.6,922.9,0.481,-0.0971,7.57,axial,0.1
84.48,0.239,1.2,0.51,11.43,1.49,0.21,0.455,1174.0,608.9,0.519,-0.1103,6.41,torsion,-1.0
80.33,0.334,1.3,0.59,15.37,0.16,1.54,0.385,1384.2,822.2,0.594,-0.0604,8.0,rotating_bending,0.1
86.59,1.071,0.38,0.78,5.2,4.52,1.18,0.272,1867.5,847.7,0.454,-0.0964,7.77,rotating_bending,0.0
87.66,0.803,0.68,1.43,2.13,4.82,2.38,0.11,1583.3,712.1,0.45,-0.058,8.0,rotating_bending,0.1
73.12,0.35,1.46,1.55,12.59,10.24,0.35,0.353,1575.8,817.3,0.519,-0.0778,8.0,axial,-1.0
80.87,0.444,0.98,0.63,2.63,11.26,2.75,0.444,1449.1,739.7,0.51,-0.0665,8.0,torsion,-1.0
87.26,0.435,0.54,1.38,6.41,1.78,1.79,0.407,1249.3,587.3,0.47,-0.1008,7.39,axial,0.1
79.53,0.789,0.94,1.48,6.53,9.89,0.61,0.235,1753.0,916.7,0.523,-0.1042,6.58,axial,0.1
86.96,0.525,0.38,1.0,1.3,6.91,2.56,0.363,1324.2,602.3,0.455,-0.0823,8.0,axial,-1.0
86.59,0.153,1.38,0.31,8.71,1.48,0.92,0.463,1045.1,490.9,0.47,-0.0571,8.0,axial,0.1
83.86,0.326,0.72,0.78,1.46,10.52,2.19,0.151,1165.1,607.3,0.521,-0.1081,6.25,axial,0.1
90.88,0.899,0.94,1.8,0.89,3.08,1.4,0.113,1644.4,813.3,0.495,-0.0598,8.0,rotating_bending,0.0
81.02,0.443,1.45,1.06,8.8,4.22,2.73,0.284,1526.1,766.5,0.502,-0.089,8.0,torsion,0.0
73.47,0.468,1.21,1.9,11.22,8.9,2.42,0.423,1712.3,889.2,0.519,-0.1119,6.44,axial,0.0
81.89,0.825,0.73,1.57,6.43,7.62,0.56,0.375,1704.2,800.3,0.47,-0.0701,8.0,rotating_bending,0.1
75.93,0.172,0.84,0.97,11.04,9.67,0.9,0.481,1273.8,665.8,0.523,-0.0779,8.0,axial,0.0
94.87,0.817,0.82,1.03,0.97,0.27,1.07,0.167,1412.4,695.7,0.493,-0.0636,8.0,axial,0.1
82.24,0.616,1.08,1.75,7.53,3.71,2.81,0.258,1619.1,833.3,0.515,-0.1043,6.84,axial,0.1
80.01,0.756,0.56,0.63,10.0,7.01,0.62,0.426,1702.1,903.2,0.531,-0.0986,7.08,torsion,0.0
89.5,0.901,1.2,0.5,2.53,3.44,1.55,0.374,1675.7,871.3,0.52,-0.0727,8.0,axial,-1.0
