Fe,C,Si,Mn,Cr,Ni,Mo,V,W,Cu,CE_IIW,Pcm,Ac1_C,Ac3_C,Ms_C,treatment_type,cooling_medium,hardness_HRC,hardenability_mm,weldability
74.08,0.404,0.45,1.69,10.32,7.95,1.55,0.994,2.3,0.27,3.805,1.367,777.0,833.0,40.0,tempering,air,19.6,159.8,poor
77.59,0.607,1.74,1.0,11.58,1.26,1.23,0.155,4.75,0.09,3.458,1.417,972.0,865.0,80.0,quenching,oil,64.0,127.0,poor
72.26,0.473,1.88,1.4,12.94,6.71,2.76,0.042,1.31,0.21,4.318,1.564,881.0,844.0,0.0,annealing,furnace,20.2,202.9,poor
83.28,0.538,1.07,1.27,0.9,7.39,2.36,0.442,2.74,0.02,1.983,1.007,652.0,817.0,114.0,tempering,air,27.6,133.2,poor
85.56,0.153,1.42,1.82,3.24,0.92,1.7,0.517,4.43,0.23,1.626,0.646,816.0,987.0,350.0,quenching,air,43.1,97.2,poor
73.98,0.163,1.06,0.45,14.09,5.23,2.26,0.229,2.47,0.07,3.907,1.189,918.0,891.0,176.0,tempering,air,38.8,172.0,poor
76.83,1.045,0.85,0.53,9.7,7.12,2.58,0.554,0.44,0.35,4.197,1.948,793.0,772.0,-182.0,normalizing,air,47.1,185.6,poor
78.73,0.294,1.59,1.18,9.17,5.74,1.25,0.008,1.82,0.21,2.974,1.055,830.0,824.0,157.0,annealing,furnace,17.8,129.0,poor
77.44,0.24,0.87,1.03,10.77,1.9,2.11,0.999,4.32,0.32,3.334,1.147,919.0,991.0,227.0,tempering,air,31.5,144.7,poor
88.83,0.966,0.6,1.61,4.23,0.24,1.49,0.906,1.05,0.08,2.582,1.476,801.0,875.0,15.0,normalizing,air,43.8,107.4,poor
78.97,0.738,0.91,1.0,11.06,0.02,2.84,0.714,3.54,0.21,3.843,1.643,952.0,940.0,41.0,quenching,air,66.7,170.4,poor
72.02,1.127,1.88,0.6,12.25,6.9,1.07,0.16,3.99,0.01,4.382,2.035,891.0,724.0,-234.0,tempering,air,49.6,154.3,poor
82.99,0.45,1.16,1.36,4.67,5.06,1.87,0.903,1.19,0.35,2.525,1.107,747.0,902.0,147.0,normalizing,air,32.8,127.2,poor
76.35,0.15,0.92,0.58,14.08,6.33,0.42,0.402,0.4,0.37,3.673,1.105,881.0,831.0,172.0,annealing,furnace,11.0,122.0,poor
79.79,0.755,0.55,0.6,8.5,2.85,2.19,0.591,4.15,0.03,3.304,1.483,858.0,845.0,31.0,quenching,water,64.3,145.8,poor
80.51,0.995,1.39,1.28,9.47,1.71,1.79,0.494,1.92,0.44,3.701,1.798,897.0,851.0,-79.0,normalizing,air,44.2,145.4,poor
87.3,0.257,1.83,0.42,2.98,2.54,0.69,0.291,3.64,0.05,1.293,0.608,806.0,902.0,331.0,annealing,furnace,15.3,60.2,poor
80.4,0.876,1.93,1.07,7.41,5.78,1.16,0.961,0.2,0.2,3.359,1.644,801.0,855.0,-65.0,tempering,air,54.0,128.2,poor
73.79,0.149,0.72,1.42,11.53,5.08,2.13,0.236,4.83,0.11,3.512,1.077,872.0,878.0,187.0,normalizing,air,20.0,164.2,poor
85.9,0.562,0.91,0.7,3.74,6.3,1.44,0.109,0.23,0.11,2.163,1.032,704.0,760.0,113.0,tempering,air,53.2,110.3,poor
83.82,0.299,0.42,1.12,2.0,7.82,2.66,0.224,1.17,0.47,2.015,0.823,636.0,806.0,196.0,annealing,furnace,19.9,143.2,poor
79.71,0.688,1.15,0.57,7.12,6.59,1.53,0.2,2.07,0.38,3.017,1.362,777.0,762.0,16.0,annealing,furnace,22.4,132.3,poor
82.59,1.035,1.49,0.79,4.29,4.04,0.02,0.81,4.71,0.22,2.476,1.5,796.0,793.0,-47.0,quenching,water,67.9,71.9,poor
77.04,0.641,0.31,1.49,11.89,0.54,2.65,0.375,4.61,0.45,3.938,1.566,941.0,876.0,49.0,annealing,furnace,24.2,173.8,poor
89.94,0.917,0.38,1.19,0.24,5.02,1.11,0.631,0.45,0.13,1.854,1.228,647.0,757.0,15.0,quenching,water,68.0,89.7,poor
87.21,1.138,0.89,0.52,0.63,2.64,2.67,0.144,3.95,0.21,2.102,1.472,739.0,792.0,-32.0,normalizing,air,50.4,126.8,poor
83.44,1.061,0.96,1.22,5.54,0.15,1.93,0.566,4.89,0.25,2.898,1.632,864.0,861.0,-31.0,tempering,air,29.1,124.6,poor
75.31,0.76,0.19,1.07,9.13,5.72,2.7,0.283,4.51,0.33,3.764,1.597,808.0,769.0,-47.0,normalizing,air,41.1,180.5,poor
75.24,0.577,1.17,0.32,14.39,0.87,2.45,0.976,3.52,0.48,4.284,1.651,1009.0,974.0,77.0,tempering,air,57.8,168.7,poor
84.12,1.077,0.23,1.48,8.44,1.4,0.37,0.694,1.7,0.5,3.35,1.723,848.0,772.0,-91.0,quenching,air,68.0,100.1,poor
77.59,0.722,1.32,0.57,13.41,3.67,1.56,0.873,0.03,0.25,4.248,1.73,924.0,881.0,-23.0,normalizing,air,36.6,153.8,poor
85.16,0.227,1.21,1.28,2.0,5.18,0.95,0.845,2.94,0.22,1.558,0.676,714.0,906.0,281.0,normalizing,air,22.9,81.4,poor
85.26,0.594,0.63,1.33,5.72,1.87,2.73,0.537,1.0,0.34,2.759,1.251,803.0,895.0,125.0,normalizing,air,30.3,148.1,poor
84.37,0.277,0.44,1.42,5.73,3.31,2.58,0.727,1.05,0.09,2.549,0.954,772.0,929.0,231.0,annealing,furnace,17.4,144.2,poor
81.02,0.967,0.81,0.56,5.36,5.81,1.01,0.796,3.37,0.31,2.9,1.549,758.0,773.0,-62.0,annealing,furnace,29.7,110.1,poor
78.49,0.164,0.55,0.65,6.41,4.78,2.73,0.936,4.91,0.38,2.632,0.91,795.0,963.0,267.0,tempering,air,15.3,147.9,poor
77.31,0.989,0.66,0.4,14.51,4.68,0.52,0.627,0.21,0.09,4.504,1.936,909.0,748.0,-154.0,quenching,oil,67.7,135.6,poor
79.3,0.821,1.75,1.45,6.95,5.27,2.09,0.775,1.54,0.06,3.381,1.607,800.0,870.0,-46.0,tempering,air,50.3,154.4,poor
74.91,0.535,1.78,0.36,14.27,4.61,1.59,0.886,0.96,0.1,4.258,1.603,944.0,913.0,35.0,normalizing,air,31.5,156.8,poor
77.5,0.31,0.8,1.67,9.88,3.82,0.68,0.282,4.89,0.17,3.023,1.06,866.0,825.0,165.0,normalizing,air,20.0,113.0,poor
77.27,0.108,0.69,0.55,11.07,6.05,2.48,0.005,1.76,0.0,3.316,0.979,837.0,861.0,217.0,annealing,furnace,14.0,166.8,poor
82.23,1.104,0.93,1.12,7.28,2.23,0.34,0.262,4.22,0.27,3.036,1.655,854.0,743.0,-92.0,annealing,furnace,31.8,94.0,poor
77.21,1.058,0.56,0.47,11.69,3.88,2.29,0.902,1.91,0.03,4.373,1.994,883.0,833.0,-150.0,tempering,air,63.7,173.5,poor
81.61,0.448,1.58,0.93,1.71,6.26,2.09,0.253,4.91,0.2,1.846,0.912,717.0,842.0,174.0,tempering,air,30.0,119.7,poor
79.75,0.225,1.35,1.33,5.64,6.54,0.91,0.378,3.48,0.38,2.295,0.845,759.0,843.0,212.0,quenching,air,48.9,104.6,poor
91.68,1.138,0.99,0.81,2.86,0.43,0.21,0.574,0.88,0.43,2.059,1.454,794.0,797.0,-11.0,tempering,air,49.0,58.1,poor
85.47,0.95,1.87,1.43,1.12,4.88,2.09,0.283,1.61,0.3,2.232,1.404,713.0,817.0,-22.0,normalizing,air,44.4,126.1,poor
90.66,1.035,0.1,0.53,0.56,1.3,2.12,0.14,3.11,0.43,1.804,1.292,731.0,770.0,39.0,normalizing,air,52.8,102.7,poor
86.38,0.41,1.77,1.05,7.63,0.02,0.25,0.741,1.67,0.07,2.315,0.997,907.0,944.0,239.0,normalizing,air,30.1,69.3,poor
86.56,0.131,0.68,1.13,9.38,0.23,1.23,0.344,0.13,0.18,2.538,0.809,890.0,938.0,322.0,tempering,air,27.3,103.7,poor
87.83,0.791,1.03,1.27,5.48,1.91,0.18,0.173,0.86,0.47,2.328,1.247,809.0,770.0,64.0,tempering,air,35.9,74.0,poor
82.48,0.153,1.47,0.35,7.43,5.41,0.71,0.579,1.31,0.11,2.324,0.792,809.0,897.0,273.0,normalizing,air,16.3,91.7,poor
81.17,0.995,0.65,0.5,6.46,2.79,2.19,0.068,4.72,0.48,3.039,1.587,833.0,770.0,-41.0,normalizing,air,50.7,138.9,poor
94.28,1.003,0.2,0.87,0.38,0.4,0.11,0.478,2.25,0.03,1.371,1.136,737.0,763.0,76.0,normalizing,air,44.9,40.7,poor
81.7,0.598,1.58,0.96,5.3,4.33,2.83,0.344,2.23,0.13,2.75,1.265,793.0,883.0,95.0,annealing,furnace,23.5,155.3,poor
84.89,1.175,1.44,0.39,2.14,3.57,2.2,0.166,3.75,0.28,2.398,1.586,765.0,787.0,-75.0,quenching,air,65.2,123.3,poor
81.13,0.775,0.12,0.38,3.29,7.25,1.96,0.805,3.8,0.49,2.566,1.319,684.0,772.0,17.0,annealing,furnace,23.7,128.5,poor
73.4,0.227,0.98,1.34,13.58,5.64,2.53,0.412,1.59,0.3,4.15,1.324,886.0,894.0,119.0,quenching,water,48.3,189.3,poor
83.91,0.725,0.6,0.93,6.72,0.11,2.64,0.511,3.76,0.09,2.868,1.361,870.0,899.0,101.0,normalizing,air,42.3,142.0,poor
71.28,0.454,1.03,1.59,13.14,7.79,2.55,0.067,1.72,0.37,4.416,1.55,841.0,788.0,-17.0,normalizing,air,30.8,203.5,poor
71.67,0.363,1.17,0.4,13.78,7.42,1.09,0.121,3.85,0.13,3.933,1.327,889.0,774.0,67.0,tempering,air,45.8,147.7,poor
82.56,1.099,0.27,0.82,7.01,3.6,2.83,0.395,1.19,0.22,3.537,1.798,791.0,785.0,-120.0,quenching,air,65.2,169.5,poor
79.67,0.786,1.99,1.24,6.93,4.75,2.94,0.625,0.61,0.46,3.439,1.621,812.0,904.0,-21.0,quenching,air,67.5,174.9,poor
82.17,0.233,1.93,0.42,11.47,2.7,0.24,0.434,0.0,0.41,2.939,1.016,927.0,910.0,239.0,annealing,furnace,18.1,89.3,poor
86.94,0.561,1.61,1.24,1.24,3.09,1.0,0.81,3.12,0.39,1.609,0.957,749.0,899.0,187.0,annealing,furnace,21.8,77.1,poor
76.55,0.346,0.19,0.73,10.8,5.67,2.71,0.675,2.2,0.13,3.693,1.279,826.0,868.0,119.0,normalizing,air,22.7,177.2,poor
83.51,0.675,1.59,1.0,0.55,6.68,2.83,0.434,2.52,0.21,2.064,1.159,675.0,847.0,77.0,annealing,furnace,22.0,143.0,poor
81.57,1.019,1.97,1.6,5.39,4.44,2.01,0.193,1.41,0.4,3.127,1.682,792.0,809.0,-100.0,quenching,water,68.0,146.4,poor
80.93,0.4,0.38,1.97,4.8,6.23,1.14,0.949,3.0,0.21,2.534,1.035,712.0,839.0,133.0,normalizing,air,25.8,115.7,poor
81.87,0.473,0.38,0.46,6.35,6.74,1.6,0.451,1.6,0.08,2.684,1.094,737.0,782.0,117.0,tempering,air,29.3,125.7,poor
87.02,0.288,1.78,0.44,0.34,5.67,0.32,0.866,3.11,0.17,1.056,0.597,704.0,895.0,297.0,quenching,oil,54.6,49.1,poor
82.33,1.109,1.54,1.35,1.78,6.62,2.9,0.263,2.1,0.01,2.764,1.647,689.0,783.0,-132.0,quenching,water,66.7,163.0,poor
88.71,0.123,1.02,1.28,0.83,1.41,2.37,0.253,3.62,0.37,1.146,0.488,757.0,964.0,395.0,quenching,oil,39.2,101.2,poor
79.95,0.642,0.24,1.54,5.71,5.47,1.22,0.628,4.17,0.44,2.805,1.27,748.0,779.0,46.0,quenching,water,68.0,120.3,poor
81.71,0.259,1.17,0.33,8.37,4.17,0.13,0.689,2.86,0.31,2.45,0.895,847.0,871.0,243.0,normalizing,air,29.5,75.9,poor
78.96,1.045,1.98,0.33,7.15,6.43,2.39,0.542,0.91,0.28,3.562,1.819,799.0,825.0,-131.0,quenching,oil,64.9,162.3,poor
75.26,0.55,0.72,0.55,11.07,5.67,1.63,0.355,4.11,0.08,3.636,1.398,860.0,794.0,43.0,annealing,furnace,20.2,148.4,poor
85.88,0.886,1.46,0.82,4.56,2.57,2.68,0.91,0.07,0.16,2.835,1.524,795.0,924.0,19.0,normalizing,air,38.3,144.3,poor
80.63,0.929,1.73,1.31,5.31,3.76,1.91,0.713,3.22,0.48,3.017,1.603,810.0,869.0,-39.0,normalizing,air,43.0,135.6,poor
79.01,0.944,1.42,1.62,12.2,2.45,1.09,0.816,0.19,0.26,4.216,1.89,917.0,858.0,-109.0,tempering,air,51.7,143.6,poor
78.15,0.308,0.35,0.49,12.27,2.29,2.04,0.287,3.33,0.49,3.493,1.185,922.0,872.0,190.0,annealing,furnace,13.6,147.6,poor
81.81,0.91,1.4,1.17,6.3,5.26,0.1,0.076,2.87,0.11,2.758,1.437,791.0,710.0,-52.0,annealing,furnace,25.9,90.4,poor
82.66,0.681,1.74,1.03,7.23,3.38,0.29,0.145,2.59,0.27,2.627,1.255,848.0,793.0,70.0,normalizing,air,36.3,87.2,poor
79.75,1.162,1.71,0.6,7.62,3.89,2.53,0.149,2.26,0.32,3.604,1.895,848.0,804.0,-151.0,annealing,furnace,37.1,163.9,poor
86.11,0.94,0.93,0.62,0.73,4.95,2.12,0.606,2.51,0.49,2.097,1.348,692.0,809.0,10.0,quenching,water,65.3,117.1,poor
75.91,0.521,1.53,0.69,10.65,2.66,2.82,0.172,4.66,0.4,3.568,1.409,929.0,898.0,100.0,annealing,furnace,17.1,170.8,poor
77.34,1.15,1.11,1.4,11.94,0.45,1.12,0.642,4.49,0.36,4.178,2.019,967.0,837.0,-151.0,quenching,air,63.8,137.2,poor
84.98,1.013,0.83,0.3,2.49,7.42,0.1,0.596,2.05,0.21,2.21,1.381,678.0,695.0,-61.0,normalizing,air,47.7,73.4,poor
83.45,0.278,1.05,0.75,6.15,3.0,1.97,0.767,2.5,0.08,2.385,0.92,819.0,946.0,257.0,annealing,furnace,16.7,119.8,poor
82.49,0.312,0.16,1.3,4.93,4.58,1.42,0.457,4.26,0.1,2.203,0.85,751.0,826.0,216.0,quenching,oil,53.4,109.9,poor
81.2,0.558,1.38,0.39,7.94,3.83,2.92,0.756,0.77,0.25,3.218,1.367,837.0,933.0,106.0,normalizing,air,31.4,162.6,poor
77.81,1.141,1.75,1.63,6.06,6.59,0.66,0.585,3.73,0.05,3.315,1.798,775.0,753.0,-188.0,normalizing,air,47.4,120.4,poor
78.91,0.915,1.64,1.36,11.76,2.93,0.22,0.605,1.28,0.39,3.88,1.769,918.0,814.0,-85.0,normalizing,air,44.5,113.9,poor
90.88,0.236,1.88,1.5,1.27,0.64,0.63,0.24,2.46,0.27,0.975,0.527,792.0,930.0,362.0,quenching,air,43.8,52.6,poor
88.16,1.012,0.48,0.91,1.43,4.7,2.83,0.173,0.1,0.21,2.377,1.44,676.0,763.0,-39.0,quenching,air,68.0,145.1,poor
79.9,0.965,0.8,0.56,2.88,7.39,2.43,0.312,4.7,0.05,2.679,1.482,698.0,743.0,-70.0,annealing,furnace,29.2,146.7,poor
86.44,0.769,1.76,1.59,4.95,3.04,0.72,0.171,0.54,0.02,2.406,1.271,797.0,805.0,46.0,quenching,oil,65.2,94.8,poor
88.37,0.916,0.86,0.95,1.88,2.4,2.79,0.49,1.02,0.33,2.288,1.378,739.0,856.0,36.0,annealing,furnace,28.6,135.4,poor
76.05,0.182,1.07,1.73,10.7,6.89,0.62,0.287,2.21,0.26,3.269,1.037,818.0,816.0,153.0,quenching,air,46.2,125.6,poor
76.37,0.222,1.97,1.26,7.25,7.74,0.42,0.544,4.03,0.2,2.604,0.934,788.0,855.0,179.0,tempering,air,22.3,101.8,poor
83.26,0.356,1.77,1.3,1.26,7.45,0.58,0.213,3.52,0.29,1.5,0.742,682.0,795.0,197.0,tempering,air,19.9,78.7,poor
86.46,0.942,1.23,1.46,4.82,1.68,0.76,0.084,2.36,0.2,2.444,1.394,815.0,775.0,2.0,tempering,air,66.9,92.1,poor
80.42,0.508,0.77,0.99,11.98,0.08,2.02,0.985,2.0,0.24,3.694,1.43,953.0,965.0,132.0,tempering,air,44.1,146.0,poor
85.02,0.493,0.71,0.76,4.63,6.03,0.8,0.801,0.46,0.3,2.289,1.035,719.0,816.0,138.0,normalizing,air,31.2,93.8,poor
82.96,0.547,1.84,1.46,0.39,7.36,2.16,0.493,2.32,0.47,1.921,1.04,662.0,850.0,112.0,quenching,water,64.1,126.8,poor
80.45,0.752,0.57,2.0,4.21,5.47,1.47,0.122,4.79,0.17,2.622,1.292,732.0,735.0,1.0,annealing,furnace,25.9,127.0,poor
69.45,0.54,1.36,1.93,13.3,5.61,2.83,0.876,3.65,0.46,4.667,1.74,899.0,917.0,-29.0,tempering,air,22.9,208.9,poor
72.38,0.505,0.75,1.89,14.38,3.52,1.82,0.805,3.51,0.43,4.485,1.626,935.0,887.0,18.0,annealing,furnace,21.7,174.6,poor
84.78,0.883,0.77,0.54,3.54,5.47,1.43,0.541,1.61,0.42,2.47,1.375,721.0,772.0,-2.0,quenching,water,67.0,110.7,poor
78.79,0.288,1.51,1.03,9.08,1.9,2.55,0.173,4.64,0.03,2.951,1.065,911.0,938.0,223.0,annealing,furnace,14.9,150.7,poor
84.81,0.392,1.4,1.77,4.05,4.18,1.23,0.027,1.96,0.19,2.038,0.893,759.0,824.0,187.0,annealing,furnace,20.2,104.3,poor
82.79,1.085,1.67,1.33,0.48,6.0,2.92,0.306,3.03,0.38,2.475,1.576,687.0,806.0,-95.0,tempering,air,38.5,154.2,poor
74.51,0.677,1.92,1.92,14.49,1.76,0.31,0.619,3.64,0.15,4.209,1.681,1001.0,876.0,-15.0,annealing,furnace,22.1,126.6,poor
73.32,0.487,1.13,1.93,14.43,2.62,2.04,0.722,3.27,0.06,4.426,1.597,959.0,918.0,38.0,annealing,furnace,23.6,177.9,poor
84.31,0.406,1.37,1.03,1.26,7.1,1.43,0.923,1.9,0.27,1.793,0.886,669.0,875.0,184.0,quenching,oil,58.1,101.1,poor
78.67,0.372,0.55,1.22,9.2,5.25,2.31,0.923,1.2,0.31,3.431,1.26,804.0,900.0,123.0,quenching,air,60.6,160.8,poor
84.9,0.198,0.96,1.64,1.19,4.85,1.23,0.654,4.11,0.27,1.428,0.614,702.0,896.0,296.0,quenching,water,44.3,87.6,poor
72.47,0.704,1.71,1.87,13.51,4.81,0.96,0.357,3.26,0.36,4.324,1.728,925.0,810.0,-71.0,normalizing,air,36.8,153.2,poor
76.85,0.181,1.3,1.49,11.67,6.1,1.53,0.262,0.6,0.0,3.529,1.113,847.0,864.0,156.0,tempering,air,25.6,152.1,poor
81.26,0.163,1.26,1.11,6.24,4.2,2.62,0.071,2.72,0.35,2.439,0.842,804.0,911.0,267.0,normalizing,air,18.3,146.0,poor
75.07,0.658,0.59,1.45,11.26,7.61,0.22,0.54,2.45,0.16,3.821,1.517,806.0,719.0,-56.0,tempering,air,46.2,126.0,poor
81.26,0.554,0.84,1.72,4.73,5.16,2.62,0.622,2.46,0.02,2.781,1.228,742.0,866.0,84.0,quenching,oil,61.7,156.2,poor
80.09,1.197,1.64,1.38,7.04,1.79,2.08,0.177,4.44,0.18,3.417,1.868,877.0,818.0,-142.0,annealing,furnace,37.9,147.4,poor
87.83,0.447,0.8,1.66,0.71,4.32,2.41,0.797,0.6,0.42,1.823,0.926,675.0,903.0,196.0,tempering,air,35.1,123.8,poor
85.43,0.192,1.97,0.45,2.38,3.36,2.83,0.293,2.84,0.26,1.609,0.686,781.0,978.0,335.0,tempering,air,35.8,123.7,poor
84.69,0.446,0.43,1.65,3.39,5.99,0.62,0.939,1.48,0.37,2.135,0.966,687.0,820.0,149.0,normalizing,air,25.5,89.9,poor
74.61,0.889,1.66,0.98,14.91,2.93,2.42,0.351,1.09,0.17,4.793,1.992,974.0,861.0,-117.0,tempering,air,36.9,191.3,poor
74.86,0.165,1.56,1.22,10.81,3.95,2.4,0.947,3.71,0.37,3.49,1.158,899.0,1011.0,213.0,quenching,air,42.5,162.5,poor
89.61,0.968,0.6,1.11,0.95,1.39,0.63,0.464,4.1,0.18,1.666,1.211,751.0,784.0,55.0,normalizing,air,47.7,64.6,poor
70.09,0.331,1.73,0.83,13.07,7.17,2.09,0.895,3.74,0.07,4.162,1.436,892.0,920.0,73.0,quenching,oil,53.7,176.6,poor
82.67,0.309,1.04,0.95,5.22,6.27,0.87,0.538,1.68,0.45,2.242,0.891,740.0,832.0,199.0,normalizing,air,26.3,98.1,poor
83.16,0.556,1.08,1.07,6.86,1.71,1.27,0.497,3.72,0.07,2.578,1.155,858.0,872.0,149.0,tempering,air,43.8,106.0,poor
82.03,0.706,1.3,1.01,5.37,6.82,0.61,0.795,1.02,0.35,2.705,1.319,736.0,796.0,20.0,quenching,water,62.8,101.5,poor
90.98,0.687,0.66,1.16,0.99,1.15,0.89,0.949,2.34,0.2,1.535,1.0,746.0,880.0,174.0,normalizing,air,41.2,66.5,poor
85.53,0.571,0.96,0.48,3.86,1.34,2.25,0.698,3.97,0.35,2.124,1.079,818.0,923.0,196.0,normalizing,air,27.5,113.3,poor
91.9,0.307,0.64,0.51,0.69,3.56,0.79,0.256,1.11,0.25,0.992,0.538,699.0,823.0,317.0,quenching,water,53.2,57.5,poor
79.66,1.174,1.84,1.01,12.19,1.48,0.64,0.701,1.08,0.23,4.162,2.043,958.0,843.0,-167.0,tempering,air,58.7,124.5,poor
83.43,0.937,0.56,1.52,4.46,6.03,2.56,0.334,0.01,0.15,3.074,1.567,701.0,762.0,-84.0,tempering,air,51.2,162.3,poor
77.97,0.743,0.81,0.7,14.96,0.11,0.19,0.583,3.55,0.36,4.04,1.645,1017.0,836.0,19.0,normalizing,air,36.5,108.0,poor
87.26,0.976,1.42,1.88,0.36,1.66,2.11,0.585,3.47,0.29,2.028,1.376,748.0,875.0,20.0,normalizing,air,47.5,114.9,poor
85.43,0.313,0.28,0.76,4.57,2.67,2.51,0.765,2.48,0.22,2.201,0.888,775.0,927.0,262.0,quenching,water,54.2,127.6,poor
83.72,0.915,0.32,0.83,7.27,2.1,1.21,0.282,3.18,0.18,2.957,1.483,835.0,766.0,-7.0,annealing,furnace,25.7,112.6,poor
87.44,0.534,0.68,1.98,1.28,2.15,2.57,0.415,2.92,0.02,1.861,0.969,730.0,884.0,180.0,quenching,water,62.1,127.5,poor
89.33,0.272,1.05,1.69,4.0,1.14,1.23,0.982,0.06,0.25,1.89,0.804,788.0,974.0,295.0,quenching,oil,51.1,88.8,poor
74.36,1.063,1.38,0.5,11.48,5.04,2.96,0.511,2.58,0.12,4.481,2.047,887.0,832.0,-176.0,quenching,oil,68.0,197.6,poor
76.39,0.124,0.65,1.89,11.22,4.47,0.72,0.713,3.7,0.12,3.274,1.0,863.0,897.0,209.0,quenching,air,38.8,121.9,poor
80.58,0.232,0.29,0.39,12.15,2.16,1.81,0.144,2.21,0.01,3.265,1.041,914.0,864.0,230.0,quenching,oil,51.1,137.4,poor
82.56,0.615,0.7,0.98,3.66,7.08,0.89,0.292,3.16,0.06,2.222,1.079,699.0,733.0,73.0,annealing,furnace,23.9,100.3,poor
84.88,0.415,0.31,1.98,2.64,1.51,2.53,0.802,4.89,0.04,2.043,0.933,765.0,933.0,225.0,annealing,furnace,18.6,128.2,poor
82.24,0.716,1.67,1.12,7.18,5.04,0.26,0.582,1.12,0.06,2.848,1.349,807.0,805.0,24.0,annealing,furnace,27.1,94.5,poor
77.49,0.406,1.63,0.63,9.33,4.54,0.75,0.983,4.23,0.01,3.027,1.183,876.0,910.0,149.0,tempering,air,19.7,106.7,poor
90.98,1.05,1.91,1.09,1.71,0.2,1.84,0.668,0.08,0.47,2.119,1.47,797.0,912.0,24.0,tempering,air,35.2,101.4,poor
78.05,0.548,1.08,1.08,14.81,0.28,1.15,0.968,1.85,0.2,4.144,1.566,1004.0,940.0,82.0,quenching,oil,65.0,136.2,poor
86.76,1.142,0.64,1.69,4.14,0.58,2.44,0.45,1.95,0.21,2.882,1.683,800.0,836.0,-74.0,tempering,air,55.3,140.8,poor
69.6,0.896,1.33,1.41,13.32,7.66,2.04,0.085,3.38,0.28,4.75,1.963,868.0,734.0,-195.0,annealing,furnace,28.2,195.5,poor
83.56,0.448,0.66,1.42,8.76,1.5,1.23,0.676,1.49,0.25,2.936,1.167,863.0,890.0,164.0,tempering,air,32.2,114.9,poor
84.71,0.308,0.31,1.77,1.72,7.3,0.82,0.33,2.63,0.09,1.671,0.707,640.0,760.0,199.0,annealing,furnace,12.7,91.3,poor
82.75,1.112,1.8,1.56,1.92,5.63,0.76,0.189,3.8,0.48,2.353,1.534,724.0,734.0,-107.0,quenching,oil,67.9,97.7,poor
77.81,0.28,0.52,1.94,10.45,5.43,1.52,0.538,1.45,0.08,3.47,1.166,815.0,847.0,128.0,normalizing,air,25.3,149.4,poor
82.01,0.989,1.86,1.94,8.81,1.57,2.22,0.007,0.45,0.14,3.635,1.771,885.0,838.0,-90.0,annealing,furnace,29.8,161.2,poor
87.72,0.54,0.23,1.87,0.12,5.88,2.84,0.307,0.38,0.12,1.903,0.971,619.0,803.0,127.0,tempering,air,41.6,143.6,poor
74.1,0.234,1.11,1.28,14.3,3.38,2.68,0.32,2.26,0.34,4.156,1.334,945.0,928.0,148.0,quenching,water,51.0,187.9,poor
77.97,0.271,0.47,0.42,9.32,3.52,2.63,0.989,4.39,0.02,3.165,1.108,862.0,957.0,217.0,quenching,oil,51.0,154.1,poor
89.1,0.427,0.4,0.59,5.19,0.2,0.19,0.714,3.13,0.05,1.762,0.819,836.0,872.0,273.0,annealing,furnace,19.7,52.0,poor
86.07,0.701,1.39,1.19,3.09,1.74,1.22,0.014,4.45,0.13,1.89,1.08,806.0,815.0,129.0,normalizing,air,38.7,89.9,poor
78.76,0.106,1.25,1.99,11.84,2.75,0.47,0.428,2.12,0.29,3.187,0.973,909.0,917.0,238.0,quenching,air,40.3,111.2,poor
83.5,0.526,1.72,1.39,6.52,2.48,0.84,0.748,2.14,0.12,2.554,1.157,844.0,906.0,145.0,quenching,water,66.8,97.2,poor
79.71,0.703,0.63,0.31,7.52,7.16,1.93,0.018,1.89,0.12,3.134,1.372,760.0,722.0,0.0,quenching,air,66.1,146.4,poor
73.37,0.603,0.43,1.08,13.97,3.29,2.61,0.475,3.79,0.39,4.439,1.665,933.0,853.0,5.0,quenching,water,68.0,189.1,poor
81.96,1.121,0.68,1.48,9.97,1.6,0.8,0.311,1.66,0.43,3.719,1.849,883.0,758.0,-135.0,annealing,furnace,31.5,122.4,poor
89.16,0.292,0.16,0.35,5.38,1.17,2.76,0.199,0.33,0.2,2.109,0.817,801.0,897.0,298.0,quenching,oil,50.4,128.7,poor
88.53,0.713,0.21,1.1,0.58,2.83,1.09,0.823,3.68,0.45,1.613,1.028,707.0,825.0,139.0,annealing,furnace,22.3,77.2,poor
80.38,0.722,0.5,1.49,8.8,4.45,1.92,0.375,0.96,0.4,3.513,1.513,805.0,792.0,-11.0,annealing,furnace,27.3,153.6,poor
84.02,0.913,1.88,0.3,5.31,2.96,0.1,0.817,3.44,0.26,2.423,1.407,840.0,843.0,26.0,quenching,water,67.5,67.6,poor
75.02,1.085,0.6,0.87,14.29,0.52,2.34,0.718,4.51,0.05,4.737,2.102,997.0,866.0,-146.0,normalizing,air,46.6,179.2,poor
78.74,0.851,0.13,1.27,8.96,4.68,0.5,0.077,4.54,0.27,3.299,1.499,818.0,681.0,-54.0,annealing,furnace,26.8,113.1,poor
78.3,0.78,1.6,1.05,7.4,5.21,0.37,0.829,4.18,0.27,3.041,1.464,826.0,821.0,-8.0,normalizing,air,35.6,100.2,poor
