Fe,C,Si,Mn,Cr,Ni,Mo,N,steel_type,PREN,CPT_C,corrosion_rate_mm_year,corrosion_resistance,environment
65.06,0.031,0.3,1.89,22.07,7.39,3.03,0.229,duplex,35.7,65.2,0.0319,very_good,acidic
67.32,0.035,0.93,1.5,20.82,5.56,3.7,0.127,duplex,35.1,52.6,0.0065,very_good,acidic
74.81,0.04,0.49,1.29,13.74,8.29,1.15,0.183,stainless,20.5,23.7,0.0092,good,seawater
89.82,0.384,0.65,1.74,4.51,1.98,0.92,0.0,low_alloy,7.5,-14.7,0.2053,low,atmospheric
69.46,0.05,0.43,1.4,21.16,5.01,2.33,0.167,duplex,31.5,46.6,0.0012,very_good,atmospheric
75.45,0.134,0.42,1.17,13.41,8.73,0.51,0.181,stainless,18.0,16.6,0.0235,moderate,industrial
67.05,0.141,0.99,0.92,19.41,9.69,1.75,0.046,stainless,25.9,31.4,0.0048,good,seawater
98.22,0.324,0.38,0.88,0.12,0.07,0.0,0.0,carbon,0.1,-20.0,0.2403,low,acidic
92.4,0.123,0.98,0.65,2.91,2.36,0.57,0.0,low_alloy,4.8,-17.9,0.2475,low,acidic
97.67,0.23,0.24,1.38,0.16,0.32,0.0,0.0,carbon,0.2,-20.0,0.3579,low,acidic
98.64,0.187,0.27,0.75,0.11,0.04,0.0,0.0,carbon,0.1,-20.0,0.1322,low,acidic
67.86,0.072,0.38,1.83,14.6,12.58,2.48,0.198,stainless,26.0,27.4,0.0087,good,seawater
96.99,0.459,0.48,1.23,0.47,0.36,0.0,0.0,carbon,0.5,-20.0,0.3146,low,acidic
67.5,0.033,0.9,1.13,20.35,7.7,2.18,0.216,duplex,31.0,49.5,0.0171,very_good,industrial
97.47,0.124,0.54,1.32,0.21,0.35,0.0,0.0,carbon,0.2,-20.0,0.2062,low,atmospheric
65.17,0.024,0.5,1.88,23.59,6.29,2.29,0.251,duplex,35.2,59.4,0.0059,very_good,atmospheric
97.91,0.403,0.48,0.73,0.28,0.19,0.0,0.0,carbon,0.3,-20.0,0.2396,low,acidic
97.78,0.418,0.56,0.79,0.01,0.44,0.0,0.0,carbon,0.0,-20.0,0.3792,low,industrial
74.58,0.053,0.58,1.17,13.29,9.89,0.28,0.157,stainless,16.7,-2.6,0.0153,moderate,atmospheric
65.15,0.031,0.44,1.99,24.03,5.84,2.36,0.16,duplex,34.4,54.2,0.0049,very_good,acidic
71.96,0.127,0.67,0.55,15.37,9.55,1.65,0.119,stainless,22.7,24.3,0.0045,good,acidic
92.39,0.33,0.28,0.95,3.13,2.27,0.65,0.0,low_alloy,5.3,-14.2,0.2416,low,seawater
90.58,0.162,0.81,1.44,4.41,2.24,0.35,0.0,low_alloy,5.6,-20.0,0.158,low,seawater
70.28,0.083,0.6,1.84,18.78,7.71,0.52,0.178,stainless,23.4,24.8,0.0017,good,atmospheric
70.28,0.074,0.99,1.55,13.24,11.47,2.39,0.009,stainless,21.3,18.8,0.006,good,atmospheric
67.18,0.084,0.97,0.91,18.26,11.28,1.31,0.024,stainless,23.0,25.1,0.0043,good,industrial
89.62,0.331,0.55,0.75,4.93,2.91,0.91,0.0,low_alloy,7.9,-11.5,0.1437,low,atmospheric
93.28,0.154,0.86,1.51,2.64,1.18,0.37,0.0,low_alloy,3.9,-20.0,0.6511,low,industrial
97.74,0.209,0.87,0.78,0.06,0.34,0.0,0.0,carbon,0.1,-20.0,0.1311,low,industrial
68.07,0.036,0.43,1.89,20.2,5.6,3.57,0.211,duplex,35.4,63.6,0.0037,very_good,atmospheric
62.43,0.031,0.83,0.76,26.26,6.03,3.36,0.295,duplex,42.1,78.6,0.0036,excellent,acidic
74.6,0.112,0.26,1.17,13.91,7.67,2.11,0.176,stainless,23.7,33.2,0.0103,good,acidic
97.27,0.498,0.99,0.59,0.34,0.31,0.0,0.0,carbon,0.3,-20.0,0.1888,low,acidic
63.39,0.029,0.44,1.5,24.72,7.52,2.19,0.208,duplex,35.3,54.3,0.009,very_good,industrial
93.41,0.111,0.88,1.87,2.62,0.58,0.54,0.0,low_alloy,4.4,-12.9,0.1658,low,seawater
77.65,0.131,0.26,1.72,12.96,6.14,1.06,0.076,stainless,17.7,12.2,0.0062,moderate,industrial
96.27,0.206,0.92,1.96,0.26,0.38,0.0,0.0,carbon,0.3,-20.0,0.1699,low,atmospheric
96.85,0.407,0.94,1.69,0.09,0.03,0.0,0.0,carbon,0.1,-20.0,0.1217,low,seawater
96.43,0.438,0.76,1.64,0.45,0.27,0.0,0.0,carbon,0.5,-20.0,0.2586,low,seawater
68.29,0.05,0.63,0.64,22.36,4.35,3.53,0.143,duplex,36.3,67.5,0.0107,very_good,atmospheric
93.2,0.317,0.55,1.25,1.47,2.91,0.31,0.0,low_alloy,2.5,-20.0,0.1163,low,seawater
96.62,0.336,0.81,1.74,0.38,0.12,0.0,0.0,carbon,0.4,-20.0,0.2127,low,industrial
96.46,0.489,0.73,1.68,0.42,0.22,0.0,0.0,carbon,0.4,-20.0,0.9338,low,seawater
65.35,0.045,0.74,1.78,20.74,7.98,3.22,0.145,duplex,33.7,52.4,0.0022,very_good,atmospheric
66.76,0.048,0.44,1.06,20.09,7.6,3.89,0.108,duplex,34.7,62.8,0.0054,very_good,acidic
93.87,0.398,0.66,1.06,1.93,1.53,0.56,0.0,low_alloy,3.8,-20.0,0.1363,low,seawater
93.08,0.132,0.7,0.61,4.56,0.84,0.08,0.0,low_alloy,4.8,-17.1,0.279,low,industrial
64.86,0.034,0.55,1.69,23.05,6.19,3.48,0.157,duplex,37.0,59.3,0.0266,very_good,seawater
92.62,0.243,0.87,0.97,2.84,1.59,0.87,0.0,low_alloy,5.7,-17.7,0.168,low,acidic
71.04,0.055,0.55,1.39,13.45,13.2,0.26,0.052,stainless,15.1,2.4,0.005,moderate,seawater
97.33,0.18,0.88,1.12,0.29,0.2,0.0,0.0,carbon,0.3,-18.7,0.1263,low,industrial
66.79,0.044,0.99,1.06,21.91,6.74,2.19,0.264,duplex,33.4,47.0,0.008,very_good,atmospheric
97.42,0.458,0.72,1.07,0.0,0.33,0.0,0.0,carbon,0.0,-20.0,0.4224,low,industrial
67.09,0.037,0.69,1.68,22.15,5.06,3.01,0.28,duplex,36.6,57.6,0.0102,very_good,acidic
62.87,0.033,0.45,0.85,26.48,6.01,3.1,0.205,duplex,40.0,71.0,0.0044,excellent,acidic
65.94,0.048,0.64,1.26,23.97,4.39,3.6,0.151,duplex,38.3,63.8,0.0037,very_good,industrial
97.53,0.185,1.0,1.1,0.05,0.14,0.0,0.0,carbon,0.0,-20.0,0.3197,low,atmospheric
69.16,0.056,0.24,1.19,16.08,13.05,0.13,0.101,stainless,18.1,20.8,0.0109,moderate,atmospheric
72.11,0.038,0.54,1.15,13.33,9.76,2.99,0.071,stainless,24.4,35.1,0.0074,good,seawater
63.54,0.022,0.63,1.01,26.23,4.98,3.34,0.26,duplex,41.4,68.4,0.0391,excellent,atmospheric
69.88,0.048,0.41,0.63,21.09,5.56,2.28,0.1,duplex,30.2,40.6,0.0188,very_good,seawater
69.63,0.105,0.24,1.38,16.78,11.11,0.69,0.075,stainless,20.2,28.9,0.0071,good,seawater
97.05,0.183,0.69,1.77,0.22,0.09,0.0,0.0,carbon,0.2,-20.0,0.2187,low,seawater
97.12,0.265,0.51,1.54,0.1,0.47,0.0,0.0,carbon,0.1,-20.0,0.4104,low,industrial
96.8,0.429,0.52,1.5,0.42,0.33,0.0,0.0,carbon,0.4,-20.0,0.1703,low,atmospheric
73.09,0.092,0.36,1.37,12.42,12.23,0.42,0.027,stainless,14.2,10.6,0.0044,moderate,acidic
60.43,0.048,0.82,1.93,25.93,7.41,3.16,0.273,duplex,40.7,65.1,0.0082,excellent,industrial
66.3,0.141,0.91,1.68,17.84,12.08,0.96,0.093,stainless,22.5,35.8,0.0125,good,seawater
96.99,0.116,0.63,1.91,0.07,0.29,0.0,0.0,carbon,0.1,-20.0,0.1352,low,atmospheric
70.29,0.08,0.5,1.04,17.23,10.52,0.32,0.011,stainless,18.5,21.4,0.0122,moderate,seawater
96.72,0.488,0.6,1.51,0.43,0.25,0.0,0.0,carbon,0.4,-20.0,0.7844,low,seawater
63.43,0.023,0.57,1.88,24.01,6.39,3.58,0.11,duplex,37.6,64.1,0.0484,very_good,industrial
93.17,0.361,0.97,1.54,1.16,2.52,0.28,0.0,low_alloy,2.1,-20.0,0.1536,low,acidic
95.95,0.458,0.83,1.97,0.38,0.42,0.0,0.0,carbon,0.4,-20.0,0.3836,low,seawater
64.93,0.044,0.39,1.49,22.25,7.98,2.75,0.159,duplex,33.9,49.5,0.0015,very_good,atmospheric
98.23,0.268,0.23,0.95,0.18,0.14,0.0,0.0,carbon,0.2,-20.0,0.4013,low,acidic
67.24,0.029,0.99,0.56,22.13,6.22,2.6,0.226,duplex,34.3,53.9,0.0069,very_good,industrial
72.21,0.082,0.32,0.62,19.43,6.09,1.09,0.152,stainless,25.5,31.7,0.011,good,industrial
95.5,0.341,0.39,0.66,0.8,1.57,0.74,0.0,low_alloy,3.2,-20.0,0.3447,low,industrial
64.48,0.113,0.56,1.85,17.67,13.98,1.17,0.173,stainless,24.3,29.4,0.002,good,atmospheric
97.25,0.44,0.68,1.07,0.41,0.15,0.0,0.0,carbon,0.4,-20.0,0.1655,low,industrial
71.05,0.142,0.37,1.36,12.97,11.39,2.68,0.033,stainless,22.3,22.9,0.0081,good,seawater
97.52,0.322,0.81,0.85,0.47,0.03,0.0,0.0,carbon,0.5,-20.0,0.218,low,industrial
97.61,0.139,0.28,1.64,0.14,0.19,0.0,0.0,carbon,0.1,-20.0,0.4092,low,industrial
92.99,0.275,0.56,1.96,2.78,0.79,0.66,0.0,low_alloy,4.9,-20.0,0.483,low,industrial
65.34,0.041,0.89,1.09,21.96,7.33,3.16,0.189,duplex,35.4,51.4,0.0116,very_good,acidic
74.28,0.097,0.88,0.97,12.32,9.69,1.67,0.099,stainless,19.4,17.3,0.0129,moderate,seawater
92.7,0.16,0.35,1.85,3.93,0.04,0.97,0.0,low_alloy,7.1,-7.5,0.2451,low,atmospheric
66.95,0.023,0.77,1.82,22.56,4.62,3.05,0.21,duplex,36.0,52.1,0.0051,very_good,industrial
67.02,0.024,0.57,1.24,24.39,4.05,2.49,0.218,duplex,36.1,59.3,0.0118,very_good,seawater
70.67,0.057,0.7,0.62,17.48,10.31,0.04,0.134,stainless,19.8,20.2,0.0033,moderate,industrial
61.17,0.038,0.88,1.77,26.44,6.97,2.6,0.124,duplex,37.0,70.9,0.0029,very_good,acidic
93.42,0.314,0.42,0.89,3.75,0.53,0.67,0.0,low_alloy,6.0,-13.9,0.4264,low,industrial
64.51,0.029,0.4,0.8,26.19,4.22,3.59,0.257,duplex,42.2,65.3,0.0218,excellent,atmospheric
63.67,0.021,0.73,1.03,26.24,5.4,2.68,0.229,duplex,38.8,67.7,0.0108,very_good,seawater
64.69,0.035,0.71,1.87,24.52,4.22,3.79,0.165,duplex,39.7,63.5,0.0176,very_good,atmospheric
90.55,0.311,0.73,0.72,4.64,2.44,0.61,0.0,low_alloy,6.7,-20.0,0.2131,low,industrial
98.04,0.16,0.46,1.13,0.01,0.2,0.0,0.0,carbon,0.0,-20.0,0.6354,low,industrial
94.58,0.198,0.59,0.82,1.31,1.86,0.66,0.0,low_alloy,3.5,-14.0,0.4845,low,industrial
64.84,0.123,0.47,0.52,19.95,11.73,2.19,0.182,stainless,30.1,44.1,0.0444,very_good,seawater
97.04,0.414,0.63,1.31,0.41,0.2,0.0,0.0,carbon,0.4,-20.0,0.2569,low,industrial
69.54,0.065,0.53,1.99,13.49,11.66,2.62,0.116,stainless,24.0,28.6,0.0012,good,industrial
68.18,0.028,0.6,1.09,22.49,4.92,2.53,0.152,duplex,33.3,54.3,0.003,very_good,atmospheric
68.83,0.034,0.61,0.96,21.07,4.67,3.59,0.241,duplex,36.8,73.2,0.0072,very_good,seawater
98.13,0.452,0.23,0.76,0.28,0.14,0.0,0.0,carbon,0.3,-20.0,0.2314,low,acidic
96.75,0.223,0.55,1.85,0.33,0.29,0.0,0.0,carbon,0.3,-20.0,0.3356,low,industrial
97.03,0.422,0.71,1.07,0.37,0.4,0.0,0.0,carbon,0.4,-20.0,0.1281,low,industrial
92.21,0.211,0.79,1.44,3.34,1.5,0.52,0.0,low_alloy,5.1,-20.0,0.1576,low,industrial
97.67,0.436,0.45,0.92,0.44,0.08,0.0,0.0,carbon,0.4,-20.0,0.3618,low,industrial
67.42,0.032,0.91,1.81,20.95,6.34,2.42,0.113,duplex,30.7,44.8,0.0383,very_good,industrial
71.0,0.058,0.96,1.59,18.16,7.44,0.73,0.051,stainless,21.4,25.4,0.0121,good,industrial
97.33,0.292,0.34,1.27,0.3,0.47,0.0,0.0,carbon,0.3,-20.0,0.1343,low,industrial
92.07,0.16,0.53,1.8,4.26,0.76,0.42,0.0,low_alloy,5.6,-15.5,0.2116,low,industrial
98.13,0.417,0.22,0.68,0.06,0.49,0.0,0.0,carbon,0.1,-20.0,0.1746,low,atmospheric
64.65,0.026,0.96,1.43,25.15,5.43,2.08,0.276,duplex,36.4,59.8,0.0041,very_good,seawater
98.24,0.484,0.5,0.51,0.26,0.0,0.0,0.0,carbon,0.3,-20.0,0.1543,low,atmospheric
96.39,0.197,0.76,1.11,0.65,0.35,0.55,0.0,low_alloy,2.5,-20.0,0.126,low,acidic
98.03,0.236,0.54,0.51,0.22,0.47,0.0,0.0,carbon,0.2,-20.0,0.656,low,industrial
65.83,0.04,0.82,1.9,22.26,5.88,3.09,0.182,duplex,35.4,58.4,0.0027,very_good,industrial
97.85,0.205,0.9,0.5,0.23,0.31,0.0,0.0,carbon,0.2,-20.0,0.1482,low,industrial
63.07,0.033,0.88,0.59,19.57,13.49,2.25,0.129,stainless,29.0,40.8,0.0189,good,acidic
66.13,0.035,0.7,1.0,21.6,6.59,3.78,0.166,duplex,36.7,58.1,0.0167,very_good,industrial
94.09,0.202,0.97,1.22,2.39,0.27,0.87,0.0,low_alloy,5.2,-13.5,0.2204,low,acidic
97.02,0.115,0.86,1.16,0.44,0.4,0.0,0.0,carbon,0.4,-20.0,0.3799,low,acidic
89.16,0.212,0.82,1.62,4.29,3.0,0.9,0.0,low_alloy,7.3,-7.1,0.2359,low,industrial
66.91,0.12,0.95,1.53,19.36,8.73,2.35,0.055,stainless,28.0,42.0,0.0094,good,atmospheric
61.09,0.044,0.86,1.92,26.25,7.6,2.11,0.125,duplex,35.2,52.9,0.0153,very_good,atmospheric
97.44,0.185,0.81,1.04,0.45,0.08,0.0,0.0,carbon,0.4,-20.0,0.3173,low,seawater
64.91,0.029,0.84,0.58,22.97,7.43,3.13,0.109,duplex,35.0,53.6,0.0092,very_good,industrial
96.99,0.264,0.84,1.45,0.02,0.44,0.0,0.0,carbon,0.0,-20.0,0.2698,low,acidic
91.51,0.143,0.69,1.45,4.7,0.85,0.66,0.0,low_alloy,6.9,-14.7,0.3764,low,industrial
68.89,0.03,0.59,1.43,15.31,12.7,0.95,0.096,stainless,20.0,23.4,0.0225,moderate,seawater
65.97,0.035,0.3,1.6,22.97,5.18,3.84,0.102,duplex,37.3,67.7,0.0189,very_good,acidic
95.27,0.158,0.89,1.66,1.15,0.6,0.27,0.0,low_alloy,2.0,-20.0,0.1004,low,atmospheric
73.2,0.03,0.57,1.4,17.24,7.21,0.19,0.152,stainless,20.3,17.2,0.0145,good,acidic
69.87,0.025,0.75,1.95,15.01,10.46,1.82,0.116,stainless,22.8,26.5,0.006,good,seawater
65.31,0.041,0.67,0.81,24.15,5.55,3.25,0.23,duplex,38.5,71.5,0.0213,very_good,atmospheric
97.3,0.379,0.29,1.73,0.08,0.23,0.0,0.0,carbon,0.1,-20.0,0.1688,low,industrial
62.12,0.044,0.46,0.77,26.25,7.02,3.13,0.22,duplex,40.1,69.2,0.0282,excellent,acidic
69.18,0.114,0.52,1.72,13.48,13.8,1.1,0.082,stainless,18.4,14.9,0.0035,moderate,atmospheric
68.86,0.04,0.91,0.69,21.54,4.26,3.55,0.144,duplex,35.6,66.5,0.0117,very_good,atmospheric
66.9,0.134,0.96,1.84,18.16,10.08,1.81,0.113,stainless,25.9,39.5,0.0037,good,industrial
93.29,0.394,0.24,1.0,1.56,2.86,0.65,0.0,low_alloy,3.7,-14.4,0.1797,low,industrial
68.73,0.048,0.27,1.07,20.55,6.21,3.01,0.111,duplex,32.3,50.2,0.0024,very_good,atmospheric
97.84,0.344,0.5,0.69,0.35,0.27,0.0,0.0,carbon,0.3,-20.0,0.6157,low,atmospheric
62.75,0.032,0.21,0.98,25.13,6.82,3.93,0.138,duplex,40.3,63.2,0.0026,excellent,atmospheric
65.6,0.047,0.59,1.89,24.82,4.54,2.23,0.282,duplex,36.7,60.6,0.0152,very_good,industrial
98.43,0.193,0.29,0.77,0.12,0.2,0.0,0.0,carbon,0.1,-20.0,0.2389,low,industrial
93.97,0.273,0.73,1.77,2.34,0.73,0.2,0.0,low_alloy,3.0,-17.1,0.3453,low,acidic
97.95,0.24,0.24,0.86,0.36,0.34,0.0,0.0,carbon,0.4,-20.0,0.3279,low,acidic
95.54,0.344,0.94,1.69,0.63,0.57,0.28,0.0,low_alloy,1.6,-20.0,0.4458,low,industrial
61.33,0.072,0.82,1.92,19.96,12.81,2.92,0.173,stainless,32.4,55.9,0.0064,very_good,acidic
65.64,0.048,0.53,1.32,17.86,12.28,2.15,0.17,stainless,27.7,43.5,0.0032,good,seawater
92.47,0.203,0.81,0.89,3.72,1.83,0.07,0.0,low_alloy,4.0,-10.2,0.3228,low,atmospheric
67.96,0.05,0.22,1.04,20.56,6.97,3.08,0.117,duplex,32.6,56.5,0.0041,very_good,acidic
95.17,0.375,0.37,1.21,1.85,0.33,0.68,0.0,low_alloy,4.1,-13.2,0.1103,low,atmospheric
68.01,0.078,0.46,1.15,19.99,9.09,1.04,0.183,stainless,26.4,36.4,0.0087,good,acidic
64.5,0.02,0.39,1.52,19.48,11.94,2.06,0.088,stainless,27.7,38.4,0.0104,good,atmospheric
92.16,0.21,0.93,1.47,4.94,0.2,0.08,0.0,low_alloy,5.2,-11.3,0.2206,low,acidic
96.38,0.295,0.58,0.57,1.59,0.35,0.23,0.0,low_alloy,2.3,-20.0,0.5294,low,acidic
97.54,0.217,0.69,0.8,0.34,0.4,0.0,0.0,carbon,0.3,-20.0,1.0414,low,atmospheric
66.82,0.099,0.22,1.92,18.67,9.76,2.37,0.129,stainless,28.5,43.4,0.0207,good,acidic
95.38,0.319,0.32,0.83,2.35,0.62,0.18,0.0,low_alloy,2.9,-13.2,0.1754,low,industrial
64.14,0.064,0.58,1.66,17.57,13.91,2.07,0.012,stainless,24.6,34.1,0.0088,good,seawater
95.32,0.116,0.62,0.71,1.81,0.66,0.77,0.0,low_alloy,4.3,-18.2,1.2108,low,atmospheric
93.51,0.147,0.57,1.53,2.74,0.93,0.57,0.0,low_alloy,4.6,-20.0,0.5914,low,industrial
91.24,0.346,0.86,1.55,4.77,1.12,0.11,0.0,low_alloy,5.1,-18.5,0.2725,low,seawater
65.85,0.113,0.7,0.91,17.52,13.1,1.7,0.115,stainless,25.0,25.2,0.0152,good,acidic
62.97,0.045,0.49,1.95,25.38,6.55,2.32,0.284,duplex,37.6,58.6,0.0226,very_good,acidic
97.22,0.415,0.68,1.21,0.04,0.44,0.0,0.0,carbon,0.0,-20.0,0.5888,low,seawater
67.43,0.037,0.84,1.7,16.16,11.09,2.7,0.056,stainless,25.9,41.7,0.0091,good,acidic
97.45,0.349,0.27,1.59,0.33,0.01,0.0,0.0,carbon,0.3,-20.0,0.3878,low,acidic
93.49,0.277,0.58,1.4,3.26,0.31,0.67,0.0,low_alloy,5.5,-8.7,0.1767,low,atmospheric
92.15,0.217,0.99,1.24,3.93,1.29,0.18,0.0,low_alloy,4.5,-16.9,0.1231,low,seawater
93.58,0.322,0.49,0.74,2.75,1.94,0.17,0.0,low_alloy,3.3,-16.0,0.2169,low,acidic
95.21,0.251,0.36,1.56,1.93,0.43,0.25,0.0,low_alloy,2.8,-20.0,0.4429,low,acidic
92.98,0.293,0.24,1.86,1.89,2.13,0.61,0.0,low_alloy,3.9,-20.0,0.2439,low,seawater
97.4,0.465,0.74,0.63,0.47,0.28,0.0,0.0,carbon,0.5,-20.0,0.2339,low,atmospheric
98.18,0.282,0.54,0.86,0.03,0.1,0.0,0.0,carbon,0.0,-20.0,0.1768,low,acidic
91.29,0.365,0.52,1.73,3.62,1.87,0.61,0.0,low_alloy,5.6,-20.0,0.632,low,atmospheric
70.2,0.03,0.49,1.12,17.4,7.89,2.74,0.133,stainless,28.6,37.4,0.0225,good,seawater
73.06,0.147,0.7,0.61,13.34,11.94,0.12,0.086,stainless,15.1,9.9,0.0069,moderate,acidic
68.86,0.085,0.52,1.83,16.04,12.28,0.37,0.017,stainless,17.5,14.8,0.023,moderate,seawater
95.35,0.183,0.7,1.38,1.27,0.9,0.23,0.0,low_alloy,2.0,-19.3,0.2825,low,acidic
69.55,0.123,0.52,1.51,15.47,9.78,2.99,0.056,stainless,26.2,37.4,0.0065,good,atmospheric
67.42,0.04,0.28,0.99,21.72,5.54,3.79,0.218,duplex,37.7,65.3,0.0109,very_good,industrial
63.3,0.04,0.25,0.9,25.33,5.92,3.97,0.283,duplex,43.0,72.9,0.0047,excellent,seawater
96.89,0.115,0.59,1.0,1.07,0.29,0.05,0.0,low_alloy,1.2,-20.0,0.6481,low,atmospheric
67.93,0.048,0.25,1.93,20.61,6.48,2.5,0.265,duplex,33.1,60.8,0.0312,very_good,industrial
67.18,0.118,0.55,1.68,17.82,10.57,2.07,0.008,stainless,24.8,30.8,0.0074,good,industrial
98.13,0.433,0.4,0.54,0.43,0.06,0.0,0.0,carbon,0.4,-20.0,0.1081,low,seawater
63.43,0.023,0.56,1.72,22.76,7.87,3.4,0.241,duplex,37.8,60.5,0.0249,very_good,acidic
63.82,0.023,0.74,1.4,26.16,4.9,2.79,0.169,duplex,38.1,66.3,0.0068,very_good,atmospheric
93.79,0.224,0.99,1.81,2.82,0.21,0.15,0.0,low_alloy,3.3,-20.0,0.1286,low,atmospheric
72.08,0.069,0.3,1.23,16.35,9.76,0.14,0.063,stainless,17.8,17.9,0.0178,moderate,atmospheric
67.45,0.034,0.35,0.91,21.86,5.16,3.96,0.278,duplex,39.4,66.4,0.0022,very_good,industrial
91.55,0.372,0.36,1.9,2.98,2.08,0.75,0.0,low_alloy,5.5,-20.0,0.2012,low,atmospheric
62.28,0.031,0.61,0.88,24.89,7.53,3.54,0.229,duplex,40.2,70.9,0.0071,excellent,acidic
96.58,0.474,0.86,1.55,0.45,0.08,0.0,0.0,carbon,0.5,-20.0,0.3562,low,atmospheric
77.32,0.029,0.78,1.57,12.37,6.98,0.89,0.052,stainless,16.1,12.5,0.0365,moderate,atmospheric
92.69,0.382,0.76,0.76,3.26,1.49,0.67,0.0,low_alloy,5.5,-12.2,1.3009,low,industrial
96.08,0.374,0.97,1.74,0.36,0.47,0.0,0.0,carbon,0.4,-20.0,0.3917,low,acidic
66.72,0.045,0.45,1.78,21.77,6.26,2.81,0.169,duplex,33.8,55.1,0.0119,very_good,atmospheric
68.43,0.072,0.99,0.96,16.41,10.27,2.81,0.07,stainless,26.8,44.8,0.0022,good,atmospheric
68.72,0.075,0.87,1.76,17.2,10.13,1.13,0.112,stainless,22.7,21.8,0.0089,good,acidic
96.48,0.435,0.73,1.98,0.12,0.26,0.0,0.0,carbon,0.1,-20.0,0.1064,low,industrial
91.24,0.396,0.67,1.8,4.9,0.99,0.0,0.0,low_alloy,4.9,-15.4,0.1809,low,acidic
94.58,0.317,0.87,0.65,2.05,1.06,0.47,0.0,low_alloy,3.6,-20.0,0.2997,low,seawater
96.8,0.323,0.71,1.4,0.47,0.3,0.0,0.0,carbon,0.5,-20.0,0.5494,low,atmospheric
94.55,0.292,0.31,0.91,3.27,0.62,0.04,0.0,low_alloy,3.4,-19.4,0.5276,low,seawater
96.9,0.126,0.39,1.99,0.14,0.44,0.0,0.0,carbon,0.1,-20.0,0.2079,low,seawater
93.13,0.177,0.36,1.17,3.54,1.01,0.6,0.0,low_alloy,5.5,-20.0,0.2436,low,atmospheric
64.55,0.026,0.33,0.91,23.23,6.77,3.93,0.258,duplex,40.3,67.0,0.0034,excellent,seawater
69.52,0.029,0.34,0.6,20.88,5.11,3.38,0.147,duplex,34.4,52.8,0.0079,very_good,seawater
96.79,0.124,0.67,1.82,0.27,0.33,0.0,0.0,carbon,0.3,-20.0,0.7092,low,acidic
93.28,0.153,0.64,1.41,1.76,2.29,0.47,0.0,low_alloy,3.3,-20.0,0.1218,low,acidic
97.49,0.445,0.73,0.78,0.23,0.31,0.0,0.0,carbon,0.2,-20.0,0.1179,low,atmospheric
97.61,0.13,0.61,1.37,0.04,0.24,0.0,0.0,carbon,0.0,-20.0,0.3136,low,industrial
93.51,0.23,0.51,0.99,3.4,0.91,0.44,0.0,low_alloy,4.9,-18.6,0.241,low,acidic
60.61,0.03,0.35,1.96,26.83,6.23,3.78,0.214,duplex,42.7,76.3,0.0227,excellent,industrial
67.34,0.027,0.71,0.77,21.56,7.22,2.14,0.228,duplex,32.3,55.9,0.0053,very_good,industrial
92.21,0.35,0.32,2.0,2.85,1.85,0.41,0.0,low_alloy,4.2,-14.2,0.2517,low,acidic
64.91,0.041,0.68,1.22,24.35,4.93,3.75,0.114,duplex,38.6,71.1,0.0117,very_good,industrial
96.57,0.266,0.62,1.9,0.47,0.17,0.0,0.0,carbon,0.5,-20.0,0.1174,low,atmospheric
90.44,0.398,0.6,0.89,4.87,2.32,0.48,0.0,low_alloy,6.5,-20.0,0.1074,low,seawater
97.18,0.292,0.89,1.05,0.33,0.26,0.0,0.0,carbon,0.3,-20.0,0.2054,low,industrial
96.89,0.181,0.53,1.86,0.2,0.34,0.0,0.0,carbon,0.2,-20.0,0.2337,low,atmospheric
67.03,0.104,0.72,0.86,19.08,12.0,0.18,0.023,stainless,20.1,21.9,0.0099,good,acidic
70.81,0.095,0.76,1.27,15.32,11.17,0.43,0.145,stainless,19.1,22.0,0.0081,moderate,acidic
90.85,0.376,0.97,1.66,3.95,1.75,0.44,0.0,low_alloy,5.4,-19.8,0.2531,low,acidic
68.7,0.028,0.31,1.67,21.37,5.09,2.59,0.248,duplex,33.9,42.9,0.0046,very_good,industrial
68.07,0.061,0.77,1.72,15.44,11.91,1.88,0.15,stainless,24.0,32.5,0.0033,good,acidic
96.37,0.29,0.65,1.99,0.36,0.34,0.0,0.0,carbon,0.4,-20.0,0.1273,low,seawater
71.59,0.113,0.47,0.69,12.04,13.12,1.9,0.088,stainless,19.7,12.3,0.0265,moderate,industrial
69.52,0.03,0.78,1.25,20.5,5.3,2.37,0.257,duplex,32.4,60.0,0.0017,very_good,atmospheric
94.38,0.271,0.49,0.66,2.15,1.44,0.61,0.0,low_alloy,4.2,-20.0,0.13,low,atmospheric
96.74,0.17,0.48,1.75,0.44,0.42,0.0,0.0,carbon,0.4,-20.0,0.2905,low,atmospheric
95.71,0.125,0.47,1.45,1.92,0.02,0.32,0.0,low_alloy,3.0,-20.0,0.1444,low,industrial
68.78,0.061,0.8,1.22,18.6,9.19,1.25,0.094,stainless,24.2,30.7,0.0013,good,seawater
92.18,0.282,0.98,1.95,2.1,2.12,0.39,0.0,low_alloy,3.4,-20.0,0.4217,low,industrial
97.44,0.182,0.78,1.06,0.38,0.16,0.0,0.0,carbon,0.4,-20.0,0.3246,low,acidic
65.59,0.034,0.88,0.62,21.0,7.68,3.94,0.246,duplex,37.9,61.1,0.0058,very_good,atmospheric
97.88,0.326,0.72,0.7,0.09,0.28,0.0,0.0,carbon,0.1,-20.0,0.1511,low,acidic
